cell,engine,mode,payload,batch,writers,bpw,kind,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,0,103022,9.7066,0.3883,8.8,18.7,0,0.0
proc-p24-b1-w1,log,process,24,1,1,40000,stable,0,57560,17.3731,0.6949,15.9,30.6,0,0.0
proc-p24-b1-w1,log,process,24,1,1,40000,stable,1,56756,17.6193,0.7048,16.1,31.5,0,0.0
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,1,96034,10.4130,0.4165,9.5,19.9,0,0.0
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,2,100939,9.9070,0.3963,8.8,17.6,0,0.0
proc-p24-b1-w1,log,process,24,1,1,40000,stable,2,59613,16.7748,0.6710,14.8,27.9,0,0.0
group-p24-b1-w1,bare,group,24,1,1,800,stable,0,381,2626.2935,2.1010,2488.6,4264.6,800,2604.8
group-p24-b1-w1,log,group,24,1,1,800,stable,0,342,2926.4796,2.3412,2706.9,4989.5,800,2689.6
group-p24-b1-w1,log,group,24,1,1,800,stable,1,351,2846.6748,2.2773,2690.3,5689.5,800,2616.3
group-p24-b1-w1,bare,group,24,1,1,800,stable,1,389,2573.6425,2.0589,2452.5,4909.6,800,2551.5
group-p24-b1-w1,bare,group,24,1,1,800,stable,2,381,2622.1387,2.0977,2464.4,5523.1,800,2600.7
group-p24-b1-w1,log,group,24,1,1,800,stable,2,377,2655.6729,2.1245,2625.7,2887.1,800,2426.9
proc-p24-b1-w4,bare,process,24,1,4,40000,stable,0,392927,2.5450,0.4072,9.1,20.3,0,0.0
proc-p24-b1-w4,log,process,24,1,4,40000,stable,0,166212,6.0164,0.9626,22.1,46.3,0,0.0
proc-p24-b1-w4,log,process,24,1,4,40000,stable,1,161946,6.1749,0.9880,23.2,46.8,0,0.0
proc-p24-b1-w4,bare,process,24,1,4,40000,stable,1,398442,2.5098,0.4016,9.1,20.1,0,0.0
proc-p24-b1-w4,bare,process,24,1,4,40000,stable,2,402275,2.4859,0.3977,9.0,19.7,0,0.0
proc-p24-b1-w4,log,process,24,1,4,40000,stable,2,164291,6.0868,0.9739,22.6,45.9,0,0.0
group-p24-b1-w4,bare,group,24,1,4,800,stable,0,1544,647.4651,2.0719,2489.2,4344.4,801,2548.3
group-p24-b1-w4,log,group,24,1,4,800,stable,0,1410,709.3505,2.2699,2693.0,5745.2,804,2575.2
group-p24-b1-w4,log,group,24,1,4,800,stable,1,1409,709.6562,2.2709,2691.1,5805.2,803,2589.8
group-p24-b1-w4,bare,group,24,1,4,800,stable,1,1504,665.0739,2.1282,2483.1,5627.8,801,2620.8
group-p24-b1-w4,bare,group,24,1,4,800,stable,2,1527,654.9657,2.0959,2486.4,4244.5,801,2578.6
group-p24-b1-w4,log,group,24,1,4,800,stable,2,1469,680.7358,2.1784,2677.1,3222.9,803,2473.6
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,0,897227,11.1455,0.1393,9.1,18.1,0,0.0
proc-p24-b10-w1,log,process,24,10,1,12500,stable,0,464203,21.5423,0.2693,19.7,37.0,0,0.0
proc-p24-b10-w1,log,process,24,10,1,12500,stable,1,507963,19.6865,0.2461,16.9,31.1,0,0.0
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,1,856762,11.6719,0.1459,9.4,22.0,0,0.0
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,2,844978,11.8346,0.1479,9.2,20.0,0,0.0
proc-p24-b10-w1,log,process,24,10,1,12500,stable,2,486474,20.5561,0.2570,17.3,38.2,0,0.0
group-p24-b10-w1,bare,group,24,10,1,500,stable,0,3913,2555.5529,1.2778,2418.6,5631.3,500,2534.6
group-p24-b10-w1,log,group,24,10,1,500,stable,0,3724,2685.5248,1.3428,2672.8,2965.2,500,2451.9
group-p24-b10-w1,log,group,24,10,1,500,stable,1,3737,2676.1377,1.3381,2659.4,3409.1,500,2442.0
group-p24-b10-w1,bare,group,24,10,1,500,stable,1,3961,2524.6126,1.2623,2429.1,5594.8,500,2501.8
group-p24-b10-w1,bare,group,24,10,1,500,stable,2,4051,2468.7303,1.2344,2422.0,3497.4,500,2443.9
group-p24-b10-w1,log,group,24,10,1,500,stable,2,3737,2675.7459,1.3379,2674.7,2903.8,500,2439.0
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,0,2867300,3.4876,0.1744,11.8,24.1,0,0.0
proc-p24-b10-w4,log,process,24,10,4,12500,stable,0,1154376,8.6627,0.4331,28.8,60.0,0,0.0
proc-p24-b10-w4,log,process,24,10,4,12500,stable,1,1031567,9.6940,0.4847,34.0,64.7,0,0.0
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,1,3017112,3.3144,0.1657,11.0,22.6,0,0.0
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,2,3057025,3.2712,0.1636,11.3,23.1,0,0.0
proc-p24-b10-w4,log,process,24,10,4,12500,stable,2,1151131,8.6871,0.4344,28.5,60.9,0,0.0
group-p24-b10-w4,bare,group,24,10,4,500,stable,0,14207,703.8928,1.4078,2516.0,5666.8,503,2737.3
group-p24-b10-w4,log,group,24,10,4,500,stable,0,13723,728.7218,1.4574,2712.0,4563.5,504,2637.2
group-p24-b10-w4,log,group,24,10,4,500,stable,1,13743,727.6565,1.4553,2706.8,4644.6,503,2647.7
group-p24-b10-w4,bare,group,24,10,4,500,stable,1,12880,776.3979,1.5528,2516.3,5776.8,551,2775.2
group-p24-b10-w4,bare,group,24,10,4,500,stable,2,14840,673.8699,1.3477,2520.5,4546.4,502,2632.3
group-p24-b10-w4,log,group,24,10,4,500,stable,2,14422,693.3675,1.3867,2691.9,5809.3,504,2501.8
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,0,3162173,31.6238,0.0791,17.1,35.8,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,0,1878761,53.2266,0.1331,36.6,63.0,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,1,2068284,48.3493,0.1209,35.5,60.0,0,0.0
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,1,3834014,26.0823,0.0652,15.0,27.8,0,0.0
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,2,3406975,29.3516,0.0734,16.1,35.8,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,2,1934901,51.6822,0.1292,36.5,57.1,0,0.0
group-p24-b100-w1,bare,group,24,100,1,300,stable,0,39747,2515.9024,0.7548,2495.2,2856.0,300,2476.6
group-p24-b100-w1,log,group,24,100,1,300,stable,0,34594,2890.6391,0.8672,2691.5,5847.8,300,2633.6
group-p24-b100-w1,log,group,24,100,1,300,stable,1,35731,2798.7161,0.8396,2697.9,5901.5,300,2537.2
group-p24-b100-w1,bare,group,24,100,1,300,stable,1,39652,2521.9310,0.7566,2492.9,2970.4,300,2473.5
group-p24-b100-w1,bare,group,24,100,1,300,stable,2,39882,2507.4247,0.7522,2490.8,2586.2,300,2472.1
group-p24-b100-w1,log,group,24,100,1,300,stable,2,35694,2801.6209,0.8405,2694.7,5904.5,300,2545.9
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,0,9290060,10.7642,0.1076,29.3,57.6,0,0.0
proc-p24-b100-w4,log,process,24,100,4,2500,stable,0,2406276,41.5580,0.4156,119.3,261.7,0,0.0
proc-p24-b100-w4,log,process,24,100,4,2500,stable,1,2161110,46.2725,0.4627,141.8,271.6,0,0.0
