cell,engine,mode,payload,batch,writers,bpw,kind,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,0,91183,10.9670,0.4387,9.0,27.4,0,0.0
proc-p24-b1-w1,log,process,24,1,1,40000,stable,0,29834,33.5192,1.3408,29.5,80.9,0,0.0
proc-p24-b1-w1,log,process,24,1,1,40000,stable,1,30669,32.6061,1.3042,28.6,80.4,0,0.0
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,1,86038,11.6228,0.4649,9.1,32.9,0,0.0
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,2,86086,11.6163,0.4647,9.3,33.0,0,0.0
proc-p24-b1-w1,log,process,24,1,1,40000,stable,2,30333,32.9669,1.3187,28.9,81.2,0,0.0
group-p24-b1-w1,bare,group,24,1,1,800,stable,0,373,2683.7984,2.1470,2494.7,5729.2,800,2654.8
group-p24-b1-w1,log,group,24,1,1,800,stable,0,365,2739.6220,2.1917,2538.9,4328.9,800,2669.7
group-p24-b1-w1,log,group,24,1,1,800,stable,1,362,2759.5441,2.2076,2526.2,5748.0,800,2689.0
group-p24-b1-w1,bare,group,24,1,1,800,stable,1,367,2726.2748,2.1810,2498.0,5644.2,800,2696.4
group-p24-b1-w1,bare,group,24,1,1,800,stable,2,398,2509.4627,2.0076,2461.2,3094.9,800,2477.7
group-p24-b1-w1,log,group,24,1,1,800,stable,2,398,2515.5739,2.0125,2496.2,3083.4,800,2462.5
proc-p24-b1-w4,bare,process,24,1,4,40000,stable,0,399256,2.5047,0.4007,8.9,18.0,0,0.0
proc-p24-b1-w4,log,process,24,1,4,40000,stable,0,67280,14.8634,2.3781,53.6,107.7,0,0.0
proc-p24-b1-w4,log,process,24,1,4,40000,stable,1,67436,14.8288,2.3726,53.2,125.2,0,0.0
proc-p24-b1-w4,bare,process,24,1,4,40000,stable,1,393135,2.5437,0.4070,9.1,20.9,0,0.0
proc-p24-b1-w4,bare,process,24,1,4,40000,stable,2,397648,2.5148,0.4024,9.2,18.4,0,0.0
proc-p24-b1-w4,log,process,24,1,4,40000,stable,2,66618,15.0110,2.4018,53.0,121.4,0,0.0
group-p24-b1-w4,bare,group,24,1,4,800,stable,0,1522,657.0831,2.1027,2495.0,4411.4,801,2588.1
group-p24-b1-w4,log,group,24,1,4,800,stable,0,1415,706.8019,2.2618,2577.1,5748.2,805,2692.6
group-p24-b1-w4,log,group,24,1,4,800,stable,1,707,1413.4531,4.5231,5404.0,8917.8,1600,2802.4
group-p24-b1-w4,bare,group,24,1,4,800,stable,1,1380,724.7566,2.3192,2567.7,5992.7,801,2841.7
group-p24-b1-w4,bare,group,24,1,4,800,stable,2,1493,669.8891,2.1436,2504.2,5623.1,802,2631.0
group-p24-b1-w4,log,group,24,1,4,800,stable,2,1536,651.0324,2.0833,2528.3,3618.5,801,2491.5
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,0,883570,11.3177,0.1415,9.1,18.4,0,0.0
proc-p24-b10-w1,log,process,24,10,1,12500,stable,0,305429,32.7409,0.4093,29.4,61.1,0,0.0
proc-p24-b10-w1,log,process,24,10,1,12500,stable,1,297870,33.5717,0.4196,30.2,59.8,0,0.0
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,1,861635,11.6058,0.1451,9.2,19.9,0,0.0
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,2,883749,11.3154,0.1414,9.1,18.7,0,0.0
proc-p24-b10-w1,log,process,24,10,1,12500,stable,2,295019,33.8961,0.4237,30.9,55.7,0,0.0
group-p24-b10-w1,bare,group,24,10,1,500,stable,0,3903,2561.9514,1.2810,2421.1,5604.3,500,2540.3
group-p24-b10-w1,log,group,24,10,1,500,stable,0,3917,2553.2645,1.2766,2496.2,5596.3,500,2499.4
group-p24-b10-w1,log,group,24,10,1,500,stable,1,3958,2526.2782,1.2631,2496.1,3041.9,500,2471.5
group-p24-b10-w1,bare,group,24,10,1,500,stable,1,4100,2438.7815,1.2194,2415.3,2613.2,500,2416.9
group-p24-b10-w1,bare,group,24,10,1,500,stable,2,4004,2497.6128,1.2488,2427.5,5585.3,500,2473.2
group-p24-b10-w1,log,group,24,10,1,500,stable,2,3871,2583.2214,1.2916,2499.1,5612.6,500,2520.8
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,0,2958026,3.3806,0.1690,11.3,24.9,0,0.0
proc-p24-b10-w4,log,process,24,10,4,12500,stable,0,675065,14.8134,0.7407,52.2,112.3,0,0.0
proc-p24-b10-w4,log,process,24,10,4,12500,stable,1,650855,15.3644,0.7682,54.0,105.8,0,0.0
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,1,3008728,3.3237,0.1662,11.3,20.1,0,0.0
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,2,3060339,3.2676,0.1634,11.2,20.1,0,0.0
proc-p24-b10-w4,log,process,24,10,4,12500,stable,2,668240,14.9647,0.7482,53.3,99.9,0,0.0
group-p24-b10-w4,bare,group,24,10,4,500,stable,0,10117,988.3868,1.9768,2822.0,8212.7,723,2705.9
group-p24-b10-w4,log,group,24,10,4,500,stable,0,7377,1355.5085,2.7110,5058.7,8613.0,1000,2690.8
group-p24-b10-w4,log,group,24,10,4,500,stable,1,8268,1209.4314,2.4189,4909.4,11107.4,956,2502.7
group-p24-b10-w4,bare,group,24,10,4,500,stable,1,14951,668.8614,1.3377,2493.5,5688.8,526,2501.0
group-p24-b10-w4,bare,group,24,10,4,500,stable,2,15658,638.6330,1.2773,2495.0,5602.6,501,2503.2
