cell,engine,mode,payload,batch,writers,bpw,kind,seg_mb,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,256,0,101967,9.8071,0.3923,8.4,18.7,0,0.0,7.31
proc-p24-b1-w1,log,process,24,1,1,40000,stable,256,0,32820,30.4691,1.2188,27.7,59.1,0,0.0,7.31
proc-p24-b1-w1,logsp,process,24,1,1,40000,stable,256,0,32620,30.6560,1.2262,27.8,58.4,0,0.0,7.31
proc-p24-b1-w1,b0d,process,24,1,1,40000,stable,256,0,78095,12.8049,0.5122,11.5,25.8,0,0.0,6.88
proc-p24-b1-w1,b0dth,process,24,1,1,40000,stable,256,0,97996,10.2045,0.4082,9.6,19.1,0,0.0,6.88
proc-p24-b1-w1,b0dth,process,24,1,1,40000,stable,256,1,97380,10.2691,0.4108,9.5,18.6,0,0.0,6.88
proc-p24-b1-w1,b0d,process,24,1,1,40000,stable,256,1,78682,12.7094,0.5084,11.6,22.9,0,0.0,6.88
proc-p24-b1-w1,logsp,process,24,1,1,40000,stable,256,1,33551,29.8052,1.1922,27.2,58.3,0,0.0,6.88
proc-p24-b1-w1,log,process,24,1,1,40000,stable,256,1,34634,28.8736,1.1549,25.7,53.8,0,0.0,6.57
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,256,1,103363,9.6746,0.3870,8.8,15.8,0,0.0,6.57
proc-p24-b1-w1,bare,process,24,1,1,40000,stable,256,2,100052,9.9948,0.3998,8.8,18.0,0,0.0,6.57
proc-p24-b1-w1,log,process,24,1,1,40000,stable,256,2,35314,28.3172,1.1327,26.3,47.9,0,0.0,6.57
proc-p24-b1-w1,logsp,process,24,1,1,40000,stable,256,2,35336,28.2994,1.1320,25.7,53.6,0,0.0,6.61
proc-p24-b1-w1,b0d,process,24,1,1,40000,stable,256,2,78282,12.7743,0.5110,11.7,22.8,0,0.0,6.61
proc-p24-b1-w1,b0dth,process,24,1,1,40000,stable,256,2,101413,9.8607,0.3944,9.2,17.9,0,0.0,6.61
group-p24-b1-w1,bare,group,24,1,1,800,stable,256,0,368,2717.9357,2.1743,2478.5,5698.9,800,2696.1,6.40
group-p24-b1-w1,log,group,24,1,1,800,stable,256,0,334,2992.1613,2.3937,2691.4,5411.6,800,2930.4,5.79
group-p24-b1-w1,logsp,group,24,1,1,800,stable,256,0,330,3029.8819,2.4239,2719.9,6063.1,800,2972.4,5.49
group-p24-b1-w1,b0d,group,24,1,1,800,stable,256,0,340,2944.9210,2.3559,2693.6,5792.7,800,2722.3,5.29
group-p24-b1-w1,b0dth,group,24,1,1,800,stable,256,0,348,2874.0917,2.2993,2694.8,4812.0,800,2651.2,5.00
group-p24-b1-w1,b0dth,group,24,1,1,800,stable,256,1,343,2915.9716,2.3328,2696.8,5810.7,800,2694.3,5.00
group-p24-b1-w1,b0d,group,24,1,1,800,stable,256,1,352,2839.6474,2.2717,2673.8,5818.8,800,2616.6,4.76
group-p24-b1-w1,logsp,group,24,1,1,800,stable,256,1,397,2517.0395,2.0136,2497.4,2755.9,800,2463.6,4.70
group-p24-b1-w1,log,group,24,1,1,800,stable,256,1,393,2546.5273,2.0372,2496.6,5599.3,800,2492.6,4.28
group-p24-b1-w1,bare,group,24,1,1,800,stable,256,1,393,2545.1217,2.0361,2433.4,5600.7,800,2521.9,4.09
group-p24-b1-w1,bare,group,24,1,1,800,stable,256,2,402,2485.8792,1.9887,2465.4,3779.3,800,2461.5,3.93
group-p24-b1-w1,log,group,24,1,1,800,stable,256,2,395,2529.6953,2.0238,2496.9,2912.9,800,2478.8,3.69
group-p24-b1-w1,logsp,group,24,1,1,800,stable,256,2,383,2612.4695,2.0900,2507.2,5683.8,800,2542.8,3.56
group-p24-b1-w1,b0d,group,24,1,1,800,stable,256,2,372,2684.9862,2.1480,2674.4,3396.9,800,2458.7,3.38
group-p24-b1-w1,b0dth,group,24,1,1,800,stable,256,2,365,2739.4453,2.1916,2684.8,4881.1,800,2514.6,3.19
proc-p24-b1-w4,bare,process,24,1,4,40000,stable,256,0,327659,3.0520,0.4883,9.4,34.5,0,0.0,3.19
proc-p24-b1-w4,log,process,24,1,4,40000,stable,256,0,54116,18.4789,2.9566,60.0,396.1,0,0.0,4.54
proc-p24-b1-w4,logsp,process,24,1,4,40000,stable,256,0,61790,16.1837,2.5894,55.2,193.5,0,0.0,4.54
proc-p24-b1-w4,b0d,process,24,1,4,40000,stable,256,0,223413,4.4760,0.7162,15.2,31.2,0,0.0,4.82
