phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
candidate-a1,process,24,10,4,4000,0,908456,0.176123,39.910,83.760,0,0.000,5.92
candidate-a1,process,24,10,4,4000,1,916858,0.174509,39.640,84.630,0,0.000,5.92
candidate-a1,process,24,10,4,4000,2,929730,0.172093,39.019,79.880,0,0.000,5.92
candidate-a1,process,24,100,4,800,0,2495322,0.128240,114.240,242.989,0,0.000,5.92
candidate-a1,process,24,100,4,800,1,2426659,0.131869,116.259,274.109,0,0.000,5.92
candidate-a1,process,24,100,4,800,2,2479239,0.129072,116.980,242.039,0,0.000,5.92
baseline-b1,process,24,10,4,4000,0,909627,0.175896,40.760,74.050,0,0.000,5.60
baseline-b1,process,24,10,4,4000,1,905946,0.176611,40.680,72.949,0,0.000,5.60
baseline-b1,process,24,10,4,4000,2,933750,0.171352,39.450,76.320,0,0.000,5.60
baseline-b1,process,24,100,4,800,0,2350604,0.136135,121.060,264.779,0,0.000,5.60
baseline-b1,process,24,100,4,800,1,2225058,0.143816,130.889,253.309,0,0.000,5.60
baseline-b1,process,24,100,4,800,2,2324147,0.137685,124.170,247.939,0,0.000,5.56
baseline-b2,process,24,10,4,4000,0,924139,0.173134,38.849,76.969,0,0.000,5.43
baseline-b2,process,24,10,4,4000,1,890090,0.179757,41.200,84.390,0,0.000,5.43
baseline-b2,process,24,10,4,4000,2,927555,0.172496,39.440,75.500,0,0.000,5.43
baseline-b2,process,24,100,4,800,0,2354916,0.135886,123.829,248.529,0,0.000,5.43
baseline-b2,process,24,100,4,800,1,2344931,0.136465,121.860,242.799,0,0.000,5.43
baseline-b2,process,24,100,4,800,2,2415022,0.132504,116.850,259.989,0,0.000,5.43
candidate-a2,process,24,10,4,4000,0,919465,0.174014,39.500,77.760,0,0.000,4.67
candidate-a2,process,24,10,4,4000,1,915117,0.174841,40.290,78.450,0,0.000,4.67
candidate-a2,process,24,10,4,4000,2,971833,0.164637,38.420,74.389,0,0.000,4.67
candidate-a2,process,24,100,4,800,0,2496625,0.128173,110.680,238.510,0,0.000,4.67
candidate-a2,process,24,100,4,800,1,2244382,0.142578,131.319,262.949,0,0.000,4.67
candidate-a2,process,24,100,4,800,2,2361292,0.135519,123.460,242.069,0,0.000,4.67
