phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1,owner_groups,owner_plans,max_group
candidate-groups,process,24,10,4,4000,0,1126869,0.141986,29.280,60.690,0,0.000,5.83,6777,16000,4
candidate-groups,process,24,10,4,4000,1,986656,0.162164,35.080,69.430,0,0.000,5.83,7303,16000,4
candidate-groups,process,24,10,4,4000,2,1049411,0.152467,31.910,64.379,0,0.000,5.83,7105,16000,4
candidate-groups,process,24,100,4,800,0,2562342,0.124886,108.319,261.240,0,0.000,5.83,1762,3200,4
candidate-groups,process,24,100,4,800,1,2250732,0.142176,110.419,936.958,0,0.000,5.83,1824,3200,4
candidate-groups,process,24,100,4,800,2,2371783,0.134920,116.609,264.049,0,0.000,5.83,1792,3200,4
baseline-groups,process,24,10,4,4000,0,961822,0.166351,36.330,82.670,0,0.000,5.53,7426,16000,4
baseline-groups,process,24,10,4,4000,1,1015942,0.157489,34.580,73.139,0,0.000,5.53,7198,16000,4
baseline-groups,process,24,10,4,4000,2,1055085,0.151647,29.160,68.560,0,0.000,5.53,6687,16000,4
baseline-groups,process,24,100,4,800,0,2255374,0.141883,134.760,265.669,0,0.000,5.53,1814,3200,4
baseline-groups,process,24,100,4,800,1,2137075,0.149737,147.079,280.489,0,0.000,5.53,1699,3200,3
baseline-groups,process,24,100,4,800,2,2253910,0.141976,134.970,262.440,0,0.000,5.53,1766,3200,4
