phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
candidate-profile,process,24,10,4,4000,0,957915,0.167029,36.810,74.590,0,0.000,4.37
candidate-profile,process,24,10,4,4000,1,1004080,0.159350,35.490,73.430,0,0.000,4.37
candidate-profile,process,24,10,4,4000,2,1128582,0.141771,31.010,68.880,0,0.000,4.37
candidate-profile,process,24,100,4,800,0,2233625,0.143265,132.309,250.629,0,0.000,4.37
candidate-profile,process,24,100,4,800,1,2362355,0.135458,122.160,244.519,0,0.000,4.37
candidate-profile,process,24,100,4,800,2,2452842,0.130461,116.259,247.920,0,0.000,4.37
baseline-profile,process,24,10,4,4000,0,1088567,0.146982,32.100,70.739,0,0.000,3.39
baseline-profile,process,24,10,4,4000,1,1031927,0.155050,33.570,70.680,0,0.000,3.39
baseline-profile,process,24,10,4,4000,2,1071048,0.149386,31.810,67.140,0,0.000,3.39
baseline-profile,process,24,100,4,800,0,2046627,0.156355,147.349,316.950,0,0.000,3.39
baseline-profile,process,24,100,4,800,1,2175431,0.147097,136.899,284.109,0,0.000,3.39
baseline-profile,process,24,100,4,800,2,2415630,0.132471,115.990,256.479,0,0.000,3.39
