phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
candidate-a1,process,24,1,4,40000,0,153825,1.040143,24.070,51.860,0,0.000,3.84
candidate-a1,process,24,1,4,40000,1,156245,1.024035,22.700,49.640,0,0.000,3.84
candidate-a1,process,24,1,4,40000,2,159623,1.002364,23.180,43.420,0,0.000,3.69
candidate-a1,process,24,10,4,12500,0,1067307,0.468469,33.030,60.390,0,0.000,3.69
candidate-a1,process,24,10,4,12500,1,1109462,0.450669,30.980,60.100,0,0.000,3.69
candidate-a1,process,24,10,4,12500,2,989891,0.505106,35.070,66.630,0,0.000,3.69
candidate-a1,process,24,100,4,2500,0,2612374,0.382794,108.620,247.819,0,0.000,3.69
candidate-a1,process,24,100,4,2500,1,2387134,0.418912,113.330,294.239,0,0.000,3.69
candidate-a1,process,24,100,4,2500,2,2366976,0.422480,115.110,285.210,0,0.000,3.69
candidate-a1,process,24,1000,4,250,0,9163130,0.109133,124.770,225.969,0,0.000,3.63
candidate-a1,process,24,1000,4,250,1,9479152,0.105495,113.890,349.330,0,0.000,3.63
candidate-a1,process,24,1000,4,250,2,9049211,0.110507,111.680,827.139,0,0.000,3.63
candidate-a1,os,24,1,4,40,0,284,0.563562,12834.534,20067.285,164,3420.187,3.63
candidate-a1,os,24,1,4,40,1,360,0.444414,10183.428,13320.323,164,2698.820,3.63
candidate-a1,os,24,1,4,40,2,373,0.428658,10182.907,13521.513,164,2598.522,3.63
candidate-a1,os,24,10,4,30,0,3748,0.320157,10045.397,12283.964,124,2566.079,3.63
candidate-a1,os,24,10,4,30,1,3640,0.329701,10298.107,14887.981,124,2640.243,3.63
candidate-a1,os,24,10,4,30,2,3434,0.349412,10517.847,19697.435,124,2802.483,3.63
candidate-a1,os,24,100,4,20,0,35705,0.224061,10636.147,14331.233,84,2636.734,3.63
candidate-a1,os,24,100,4,20,1,34325,0.233065,10564.917,15394.920,84,2743.833,3.63
candidate-a1,os,24,100,4,20,2,34712,0.230467,10815.327,12321.565,84,2694.816,3.63
candidate-a1,os,24,1000,4,10,0,313731,0.127498,11597.366,19235.787,44,2847.288,3.63
candidate-a1,os,24,1000,4,10,1,310451,0.128845,11730.466,18067.778,44,2883.117,3.63
candidate-a1,os,24,1000,4,10,2,326985,0.122330,10976.327,18363.517,44,2734.854,3.63
candidate-a1,group,24,1,4,800,0,1399,2.288029,2691.637,4789.924,804,2603.884,3.66
candidate-a1,group,24,1,4,800,1,1393,2.297402,2687.166,5798.413,804,2613.341,3.66
candidate-a1,group,24,1,4,800,2,1413,2.264648,2684.317,5759.793,805,2571.015,3.77
candidate-a1,group,24,10,4,500,0,14055,1.422946,2701.146,5652.983,504,2574.423,3.77
candidate-a1,group,24,10,4,500,1,13163,1.519358,2698.297,5873.163,504,2766.563,3.77
candidate-a1,group,24,10,4,500,2,14328,1.395853,2691.467,4521.644,503,2531.660,3.71
candidate-a1,group,24,100,4,300,0,137069,0.875473,2754.207,5910.603,303,2572.434,3.71
candidate-a1,group,24,100,4,300,1,139171,0.862248,2745.197,4720.474,303,2512.858,3.71
candidate-a1,group,24,100,4,300,2,136072,0.881887,2752.666,5876.163,303,2595.649,3.71
candidate-a1,group,24,1000,4,100,0,1038426,0.385198,3093.747,5270.994,103,3015.885,3.71
candidate-a1,group,24,1000,4,100,1,1053986,0.379512,3070.257,6314.762,105,2910.113,3.71
candidate-a1,group,24,1000,4,100,2,1069372,0.374051,3067.776,6302.212,104,2912.674,3.71
baseline-b1,process,24,1,4,40000,0,162126,0.986887,23.470,45.680,0,0.000,3.93
baseline-b1,process,24,1,4,40000,1,161430,0.991139,22.930,45.519,0,0.000,3.93
baseline-b1,process,24,1,4,40000,2,165237,0.968308,22.640,41.380,0,0.000,3.93
baseline-b1,process,24,10,4,12500,0,1067721,0.468287,32.320,66.569,0,0.000,3.93
baseline-b1,process,24,10,4,12500,1,1077304,0.464122,31.060,65.559,0,0.000,4.01
baseline-b1,process,24,10,4,12500,2,1000753,0.499624,35.780,62.950,0,0.000,4.01
baseline-b1,process,24,100,4,2500,0,2451459,0.407920,110.420,294.850,0,0.000,4.01
baseline-b1,process,24,100,4,2500,1,2931093,0.341170,98.759,235.340,0,0.000,4.01
baseline-b1,process,24,100,4,2500,2,2621264,0.381495,106.200,253.460,0,0.000,4.01
baseline-b1,process,24,1000,4,250,0,8844181,0.113069,128.800,374.000,0,0.000,4.01
baseline-b1,process,24,1000,4,250,1,9052509,0.110467,111.100,226.840,0,0.000,4.01
baseline-b1,process,24,1000,4,250,2,8890046,0.112485,110.189,353.759,0,0.000,4.01
baseline-b1,os,24,1,4,40,0,403,0.396833,9622.599,9946.048,164,2408.178,4.01
baseline-b1,os,24,1,4,40,1,402,0.398251,9679.839,10653.947,164,2414.284,4.01
baseline-b1,os,24,1,4,40,2,401,0.398947,9723.548,10037.467,164,2417.470,4.01
baseline-b1,os,24,10,4,30,0,3990,0.300768,9691.698,9924.878,124,2408.122,4.01
baseline-b1,os,24,10,4,30,1,3641,0.329544,9713.378,25169.349,124,2639.006,4.01
baseline-b1,os,24,10,4,30,2,3910,0.306895,9700.578,13004.674,124,2458.933,4.01
baseline-b1,os,24,100,4,20,0,38384,0.208421,9917.527,10078.737,84,2451.925,4.01
baseline-b1,os,24,100,4,20,1,38293,0.208915,9960.498,10032.008,84,2459.621,3.93
baseline-b1,os,24,100,4,20,2,37807,0.211599,9901.639,13186.604,84,2491.676,3.93
baseline-b1,os,24,1000,4,10,0,362462,0.110356,9935.868,17007.289,44,2460.590,3.93
baseline-b1,os,24,1000,4,10,1,353934,0.113016,9915.388,16971.820,44,2522.416,3.93
baseline-b1,os,24,1000,4,10,2,361109,0.110770,9915.989,17390.089,44,2469.354,3.93
baseline-b1,group,24,1,4,800,0,1466,2.182726,2662.337,5800.143,803,2482.962,3.93
baseline-b1,group,24,1,4,800,1,1473,2.171924,2661.256,5781.203,803,2467.370,3.86
baseline-b1,group,24,1,4,800,2,1486,2.153550,2671.537,3195.496,803,2445.446,3.86
baseline-b1,group,24,10,4,500,0,14638,1.366281,2692.217,3493.126,503,2470.068,3.86
baseline-b1,group,24,10,4,500,1,14687,1.361754,2693.546,3480.946,504,2451.145,3.95
baseline-b1,group,24,10,4,500,2,14092,1.419225,2695.516,5872.743,504,2567.255,3.95
baseline-b1,group,24,100,4,300,0,135137,0.887986,2760.627,5908.973,304,2581.069,3.95
baseline-b1,group,24,100,4,300,1,141685,0.846949,2751.187,2973.747,304,2464.497,3.95
baseline-b1,group,24,100,4,300,2,138964,0.863535,2759.616,3854.846,304,2499.349,3.95
baseline-b1,group,24,1000,4,100,0,1120626,0.356943,3008.086,6317.932,103,2788.643,3.95
baseline-b1,group,24,1000,4,100,1,1099395,0.363836,3046.316,7240.221,106,2738.095,3.95
baseline-b1,group,24,1000,4,100,2,1069727,0.373927,3036.897,8441.210,103,2898.807,4.35
baseline-b2,process,24,1,4,40000,0,161415,0.991236,23.650,45.340,0,0.000,4.08
baseline-b2,process,24,1,4,40000,1,168434,0.949925,21.310,41.350,0,0.000,4.08
baseline-b2,process,24,1,4,40000,2,161706,0.989447,22.910,41.980,0,0.000,4.08
baseline-b2,process,24,10,4,12500,0,1025677,0.487483,34.240,62.370,0,0.000,4.08
baseline-b2,process,24,10,4,12500,1,1131152,0.442027,27.870,65.170,0,0.000,4.24
baseline-b2,process,24,10,4,12500,2,1047109,0.477505,32.920,68.090,0,0.000,4.24
baseline-b2,process,24,100,4,2500,0,2383132,0.419616,121.619,253.409,0,0.000,4.24
baseline-b2,process,24,100,4,2500,1,2629082,0.380361,101.240,342.680,0,0.000,4.24
baseline-b2,process,24,100,4,2500,2,2366921,0.422490,115.170,290.800,0,0.000,4.24
baseline-b2,process,24,1000,4,250,0,8914971,0.112171,126.730,340.969,0,0.000,4.24
baseline-b2,process,24,1000,4,250,1,9249556,0.108113,109.360,227.149,0,0.000,4.24
baseline-b2,process,24,1000,4,250,2,9038853,0.110634,111.680,286.710,0,0.000,4.24
baseline-b2,os,24,1,4,40,0,374,0.427785,10163.058,14125.623,164,2594.753,4.24
baseline-b2,os,24,1,4,40,1,364,0.439188,10769.897,13507.334,164,2664.314,4.24
baseline-b2,os,24,1,4,40,2,382,0.419389,10066.088,14101.314,164,2546.356,4.30
baseline-b2,os,24,10,4,30,0,3696,0.324680,10276.468,13087.834,124,2603.156,4.30
baseline-b2,os,24,10,4,30,1,3670,0.326961,10542.197,13162.104,124,2621.693,4.30
baseline-b2,os,24,10,4,30,2,3537,0.339257,10684.117,15389.671,124,2719.115,4.30
baseline-b2,os,24,100,4,20,0,33075,0.241872,11602.326,15023.542,84,2835.571,4.30
baseline-b2,os,24,100,4,20,1,31476,0.254162,10913.527,27376.498,84,2986.248,4.30
baseline-b2,os,24,100,4,20,2,34548,0.231563,10734.148,14191.993,84,2731.414,4.30
baseline-b2,os,24,1000,4,10,0,298679,0.133923,12153.195,20504.595,44,2993.442,4.30
baseline-b2,os,24,1000,4,10,1,294754,0.135706,12379.774,21289.275,44,3036.348,4.30
baseline-b2,os,24,1000,4,10,2,295351,0.135432,12464.445,20162.416,44,3028.486,4.30
baseline-b2,group,24,1,4,800,0,1346,2.376690,2725.637,5786.333,805,2710.365,4.19
baseline-b2,group,24,1,4,800,1,1323,2.418737,2740.846,5644.244,804,2767.669,4.19
baseline-b2,group,24,1,4,800,2,1327,2.411462,2741.767,4795.575,803,2768.412,4.19
baseline-b2,group,24,10,4,500,0,12577,1.590253,2815.797,6045.273,504,2901.024,4.10
baseline-b2,group,24,10,4,500,1,12988,1.539939,2803.276,5688.513,503,2819.067,4.10
baseline-b2,group,24,10,4,500,2,12680,1.577293,2794.937,5969.552,504,2881.740,4.10
baseline-b2,group,24,100,4,300,0,120153,0.998726,2902.956,5954.973,304,2948.988,4.25
baseline-b2,group,24,100,4,300,1,120748,0.993809,2902.447,5925.253,303,2939.382,4.25
baseline-b2,group,24,100,4,300,2,119885,1.000958,2918.927,5176.174,304,2963.078,4.25
