phase,batch,rep,appends,alloc_calls,alloc_bytes,alloc_calls_per_append,alloc_bytes_per_append,thread_cpu_ns_per_append,wall_ns_per_append,events_per_s,fsyncs
final,1,0,256,0,0,0.000000,0.000,1035.703,1031.211,969734,0
final,1,1,256,0,0,0.000000,0.000,1081.953,1077.812,927805,0
final,1,2,256,0,0,0.000000,0.000,1107.266,1136.250,880088,0
final,10,0,256,0,0,0.000000,0.000,1641.797,1662.734,6014190,0
final,10,1,256,0,0,0.000000,0.000,1823.125,1864.254,5364076,0
final,10,2,256,0,0,0.000000,0.000,1658.164,1653.941,6046163,0
final,100,0,256,256,1310720,1.000000,5120.000,7598.715,7744.562,12912285,0
final,100,1,256,256,1310720,1.000000,5120.000,7745.352,7792.102,12833508,0
final,100,2,256,256,1310720,1.000000,5120.000,7441.410,7519.801,13298225,0
final,1000,0,256,256,10485760,1.000000,40960.000,54464.270,54804.746,18246595,0
final,1000,1,256,256,10485760,1.000000,40960.000,69741.543,70427.387,14199022,0
final,1000,2,256,256,10485760,1.000000,40960.000,54860.172,55297.988,18083840,0
