phase,batch,writers,bpw,ev_s,wall_s,append_p50_us,append_p99_us,barriers,mean_fsync_us,load1
c1-candidate-a1,1,4,800,1337,2.393935,2708.762,5840.934,804,2734.016,4.27
c1-candidate-a1,10,4,500,13418,1.490564,2726.352,5863.044,504,2708.100,4.64
c1-baseline-b1,1,4,800,1368,2.339745,2710.282,5709.894,805,2664.210,4.64
c1-baseline-b1,10,4,500,12836,1.558077,2781.743,6419.614,503,2851.261,4.64
c1-baseline-b2,1,4,800,1332,2.401850,2711.492,5881.205,803,2756.503,4.51
c1-baseline-b2,10,4,500,13327,1.500718,2740.452,4647.273,504,2732.579,4.51
c1-candidate-a2,1,4,800,1362,2.349269,2703.052,5943.024,803,2690.952,4.47
c1-candidate-a2,10,4,500,12888,1.551833,2766.423,6174.154,504,2826.454,4.47
c2-candidate-a1,1,4,800,1329,2.407725,2713.682,5812.024,804,2755.481,4.51
c2-candidate-a1,10,4,500,13103,1.526316,2733.992,6023.724,503,2790.985,4.51
c2-baseline-b1,1,4,800,1318,2.427694,2739.452,5927.104,804,2776.714,4.51
c2-baseline-b1,10,4,500,13003,1.538129,2785.212,5914.434,504,2799.860,4.55
c2-baseline-b2,1,4,800,1324,2.416960,2716.632,5839.354,804,2764.380,4.55
c2-baseline-b2,10,4,500,13263,1.507969,2725.822,5316.184,503,2753.157,4.55
c2-candidate-a2,1,4,800,1459,2.193774,2677.072,5805.664,803,2495.388,4.59
c2-candidate-a2,10,4,500,14362,1.392598,2692.872,5877.454,504,2514.416,4.59
c3-candidate-a1,1,4,800,1474,2.171265,2665.371,5726.693,804,2462.099,4.46
c3-candidate-a1,10,4,500,14417,1.387285,2690.612,3539.163,503,2515.222,4.46
c3-baseline-b1,1,4,800,1476,2.168292,2672.202,4143.613,803,2464.721,4.46
c3-baseline-b1,10,4,500,14693,1.361234,2692.982,2895.482,504,2452.341,4.34
c3-baseline-b2,1,4,800,1466,2.182420,2671.642,3529.212,804,2475.598,4.34
c3-baseline-b2,10,4,500,14074,1.421098,2698.262,5834.974,505,2553.411,4.34
c3-candidate-a2,1,4,800,1485,2.154977,2666.112,3557.662,804,2442.182,4.16
c3-candidate-a2,10,4,500,14371,1.391660,2694.062,5785.053,504,2512.948,4.16
c4-candidate-a1,1,4,800,1460,2.191111,2678.681,5821.374,804,2483.267,4.16
c4-candidate-a1,10,4,500,14374,1.391425,2697.612,5831.314,504,2510.017,4.06
c4-baseline-b1,1,4,800,1459,2.192704,2683.802,5794.854,804,2487.182,4.06
c4-baseline-b1,10,4,500,14305,1.398071,2693.933,5807.614,503,2527.513,4.06
c4-baseline-b2,1,4,800,1457,2.196828,2679.982,5770.634,804,2488.169,4.06
c4-baseline-b2,10,4,500,14589,1.370927,2694.022,3508.943,504,2470.129,4.06
c4-candidate-a2,1,4,800,1456,2.197090,2676.592,5811.514,803,2499.130,3.97
c4-candidate-a2,10,4,500,14715,1.359197,2692.992,2891.052,503,2458.982,3.97
c5-candidate-a1,1,4,800,1471,2.174941,2677.932,5711.244,803,2466.662,3.97
c5-candidate-a1,10,4,500,14602,1.369654,2691.052,3643.062,503,2478.553,3.81
c5-baseline-b1,1,4,800,1471,2.175270,2674.782,5721.494,804,2466.596,3.81
c5-baseline-b1,10,4,500,14431,1.385882,2689.862,5793.004,503,2512.065,3.81
c5-baseline-b2,1,4,800,1464,2.185874,2671.212,5767.034,804,2474.224,3.67
c5-baseline-b2,10,4,500,14555,1.374105,2691.182,4526.733,503,2482.740,3.67
c5-candidate-a2,1,4,800,1470,2.177185,2679.882,5707.304,804,2468.311,3.67
c5-candidate-a2,10,4,500,14130,1.415457,2694.202,5829.684,504,2560.255,3.62
