phase,batch,writers,bpw,ev_s,wall_s,append_p50_us,append_p99_us,fsyncs,fsync_p50_us,fsync_p95_us,fsync_p99_us,fsync_max_us,fsync_mean_us,load1
c1-candidate-a1,1,4,40,373,0.428941,10049.389,13780.625,164,2424.832,3997.696,5636.096,5675.904,2600.621,5.08
c1-candidate-a1,10,4,30,3760,0.319164,9977.969,13971.235,124,2424.832,3866.624,4128.768,5365.125,2560.001,5.08
c1-baseline-b1,1,4,40,371,0.430836,10140.909,13694.025,164,2424.832,3866.624,4849.664,6312.023,2613.724,5.08
c1-baseline-b1,10,4,30,3401,0.352822,10107.009,22465.085,124,2424.832,5636.096,5898.240,7139.282,2831.718,5.87
c1-baseline-b2,1,4,40,366,0.436706,10321.469,13727.274,164,2424.832,3997.696,4587.520,4647.295,2649.939,5.87
c1-baseline-b2,10,4,30,3709,0.323530,10211.149,13613.656,124,2424.832,3866.624,4587.520,6688.133,2595.108,5.87
c1-candidate-a2,1,4,40,365,0.438534,9919.209,26656.731,164,2424.832,4325.376,6684.672,11756.327,2660.696,5.87
c1-candidate-a2,10,4,30,3728,0.321899,10234.809,12731.996,124,2424.832,3735.552,4587.520,4665.275,2581.827,5.87
c2-candidate-a1,1,4,40,357,0.447976,9906.649,19375.118,164,2424.832,5373.952,5636.096,6760.912,2720.609,5.87
c2-candidate-a1,10,4,30,3794,0.316284,9922.979,13622.775,124,2424.832,3473.408,4325.376,5293.904,2536.305,5.87
c2-baseline-b1,1,4,40,358,0.447502,10101.339,19138.109,164,2424.832,5373.952,5636.096,6742.773,2715.265,5.87
c2-baseline-b1,10,4,30,3725,0.322182,10079.749,12102.337,124,2424.832,3604.480,3997.696,4232.046,2566.487,5.87
c2-baseline-b2,1,4,40,378,0.422965,9964.539,13105.075,164,2424.832,3866.624,5373.952,5604.194,2565.531,5.87
c2-baseline-b2,10,4,30,3655,0.328296,10230.529,13733.995,124,2424.832,3735.552,4587.520,5094.635,2629.542,5.87
c2-candidate-a2,1,4,40,368,0.434963,10175.178,13516.415,164,2424.832,3866.624,4325.376,5275.484,2638.118,5.87
c2-candidate-a2,10,4,30,3344,0.358833,10702.148,27561.659,124,2424.832,4325.376,8650.752,10835.667,2880.085,5.72
c3-candidate-a1,1,4,40,362,0.441677,10568.078,14160.304,164,2424.832,3866.624,5111.808,5762.644,2678.426,5.72
c3-candidate-a1,10,4,30,3594,0.333923,10755.478,12380.796,124,2424.832,3997.696,4587.520,4602.595,2676.529,5.72
c3-baseline-b1,1,4,40,363,0.440773,10540.348,13102.766,164,2424.832,3866.624,4587.520,5114.174,2674.292,5.72
c3-baseline-b1,10,4,30,3569,0.336202,10872.129,13611.015,124,2424.832,4128.768,4587.520,5418.504,2694.759,5.72
c3-baseline-b2,1,4,40,356,0.449916,11000.138,13517.645,164,2424.832,4128.768,4587.520,5825.243,2729.788,5.72
c3-baseline-b2,10,4,30,3610,0.332379,10630.858,12481.276,124,2424.832,3866.624,4587.520,5390.704,2664.074,5.72
c3-candidate-a2,1,4,40,362,0.441857,10630.818,14032.284,164,2424.832,3997.696,4587.520,5743.123,2681.409,5.72
c3-candidate-a2,10,4,30,3455,0.347345,11001.948,14109.854,124,2555.904,4325.376,4849.664,5888.053,2787.228,5.72
c4-candidate-a1,1,4,40,259,0.618235,10282.698,192679.388,164,2424.832,4325.376,36700.160,147090.697,3755.670,5.72
c4-candidate-a1,10,4,30,3640,0.329655,10472.648,12729.326,124,2555.904,3866.624,4128.768,4722.095,2638.663,5.72
c4-baseline-b1,1,4,40,370,0.432904,10225.549,14973.923,164,2424.832,3866.624,6422.528,6970.952,2623.286,5.72
c4-baseline-b1,10,4,30,3493,0.343553,10183.509,19409.929,124,2424.832,5373.952,5636.096,5743.804,2751.392,5.42
c4-baseline-b2,1,4,40,372,0.430476,10338.758,13112.716,164,2424.832,3997.696,4325.376,4354.045,2609.562,5.42
c4-baseline-b2,10,4,30,3456,0.347189,10293.269,22475.045,124,2424.832,5636.096,5636.096,5615.754,2784.806,5.42
c4-candidate-a2,1,4,40,372,0.429876,10192.089,13297.806,164,2424.832,3866.624,5373.952,5699.674,2605.651,5.42
c4-candidate-a2,10,4,30,3767,0.318535,10287.639,12045.236,124,2424.832,3342.336,4128.768,4133.645,2550.955,5.42
c5-candidate-a1,1,4,40,375,0.426635,9949.509,12922.816,164,2424.832,3866.624,5111.808,5691.394,2579.864,5.42
c5-candidate-a1,10,4,30,3835,0.312889,9876.859,13111.146,124,2424.832,3211.264,3866.624,4287.385,2505.888,5.42
c5-baseline-b1,1,4,40,387,0.413129,9844.439,13067.406,164,2424.832,3604.480,3997.696,5677.734,2507.630,5.42
c5-baseline-b1,10,4,30,3731,0.321608,10120.599,13167.156,124,2424.832,3866.624,4849.664,5531.544,2578.518,5.42
c5-baseline-b2,1,4,40,385,0.415995,9907.599,13527.975,164,2424.832,3211.264,4128.768,5714.794,2523.170,5.42
c5-baseline-b2,10,4,30,3742,0.320678,9896.090,13545.725,124,2424.832,3866.624,4325.376,4551.235,2572.470,5.42
c5-candidate-a2,1,4,40,384,0.416327,9952.839,11799.987,164,2424.832,2949.120,3997.696,4215.376,2521.431,5.42
c5-candidate-a2,10,4,30,3753,0.319755,9980.569,11343.628,124,2424.832,3211.264,4325.376,6506.893,2560.289,5.42
