phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
pre,process,24,1,4,10000,0,151942,0.263258,24.130,50.240,0,0.000,6.97
pre,process,24,1,4,10000,1,151713,0.263656,23.710,60.340,0,0.000,6.97
pre,process,24,1,4,10000,2,160272,0.249575,22.800,47.940,0,0.000,6.97
pre,process,24,10,4,4000,0,1094339,0.146207,30.400,61.510,0,0.000,6.97
pre,process,24,10,4,4000,1,1237739,0.129268,26.310,55.010,0,0.000,6.97
pre,process,24,10,4,4000,2,1077521,0.148489,29.250,69.580,0,0.000,6.97
pre,process,24,100,4,800,0,2780353,0.115093,101.900,246.170,0,0.000,6.97
pre,process,24,100,4,800,1,2122103,0.150794,150.080,265.330,0,0.000,6.97
pre,process,24,100,4,800,2,2844287,0.112506,99.800,235.130,0,0.000,6.97
pre,process,24,1000,4,100,0,8811627,0.045395,136.060,394.929,0,0.000,6.97
pre,process,24,1000,4,100,1,8532560,0.046879,121.920,252.500,0,0.000,6.97
pre,process,24,1000,4,100,2,9137899,0.043774,115.860,260.090,0,0.000,6.97
pre,os,24,1,4,40,0,376,0.426040,10039.838,13320.787,164,2583.617,6.97
pre,os,24,1,4,40,1,374,0.427768,10143.857,15400.076,164,2597.485,6.97
pre,os,24,1,4,40,2,378,0.422863,9815.988,13235.867,164,2565.671,6.89
pre,os,24,10,4,30,0,3747,0.320242,10238.357,11621.277,124,2566.839,6.89
pre,os,24,10,4,30,1,3580,0.335227,10209.698,12636.847,124,2689.381,6.89
pre,os,24,10,4,30,2,3710,0.323463,10094.378,14328.307,124,2594.575,6.89
pre,os,24,100,4,20,0,33628,0.237894,11126.017,16112.236,84,2775.592,6.89
pre,os,24,100,4,20,1,32908,0.243102,10974.857,18489.275,84,2853.280,6.89
pre,os,24,100,4,20,2,36038,0.221988,10361.278,12098.607,84,2611.273,6.89
pre,os,24,1000,4,10,0,326844,0.122383,11322.448,19252.726,44,2733.046,6.89
pre,os,24,1000,4,10,1,329719,0.121315,10857.308,17937.766,44,2711.294,6.89
pre,os,24,1000,4,10,2,327572,0.122111,11015.328,17953.496,44,2722.231,6.89
pre,group,24,1,4,200,0,1368,0.584885,2681.359,5833.429,203,2648.544,6.89
pre,group,24,1,4,200,1,1402,0.570707,2686.549,4430.649,203,2569.995,6.89
pre,group,24,1,4,200,2,1336,0.598870,2696.549,5814.138,203,2709.812,6.89
pre,group,24,10,4,150,0,13600,0.441179,2699.489,4709.089,153,2642.047,6.89
pre,group,24,10,4,150,1,13674,0.438787,2704.439,4890.469,153,2620.914,6.58
pre,group,24,10,4,150,2,13013,0.461063,2710.439,5837.628,153,2760.051,6.58
pre,group,24,100,4,100,0,122874,0.325538,2785.310,4774.639,104,2792.886,6.58
pre,group,24,100,4,100,1,90379,0.442579,2791.019,16113.716,103,3969.665,6.58
pre,group,24,100,4,100,2,129425,0.309058,2776.090,4822.519,103,2683.003,6.58
pre,group,24,1000,4,50,0,965796,0.207083,3218.379,7512.499,53,3203.801,6.58
pre,group,24,1000,4,50,1,1071704,0.186619,3022.750,6032.268,54,2769.619,6.58
pre,group,24,1000,4,50,2,1129881,0.177010,3015.929,3371.000,53,2662.385,6.58
