phase,batch,rep,appends,alloc_calls,alloc_bytes,alloc_calls_per_append,alloc_bytes_per_append,thread_cpu_ns_per_append,wall_ns_per_append,events_per_s,fsyncs
pre,1,0,256,1029,129024,4.019531,504.000,1481.953,1511.953,661396,0
pre,1,1,256,1029,129024,4.019531,504.000,1451.016,1486.484,672728,0
pre,1,2,256,1029,129024,4.019531,504.000,1156.172,1159.023,862795,0
pre,10,0,256,1029,313344,4.019531,1224.000,1645.234,1632.734,6124695,0
pre,10,1,256,1029,313344,4.019531,1224.000,1604.062,1600.039,6249847,0
pre,10,2,256,1029,313344,4.019531,1224.000,1947.695,1979.883,5050804,0
pre,100,0,256,1029,2156544,4.019531,8424.000,7443.637,7491.910,13347731,0
pre,100,1,256,1029,2156544,4.019531,8424.000,7523.559,7583.590,13186367,0
pre,100,2,256,1029,2156544,4.019531,8424.000,6629.496,6697.262,14931476,0
pre,1000,0,256,1029,20588544,4.019531,80424.000,45283.566,45672.527,21895000,0
pre,1000,1,256,1029,20588544,4.019531,80424.000,69471.230,70126.699,14259904,0
pre,1000,2,256,1029,20588544,4.019531,80424.000,70170.102,117667.590,8498517,0
