phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
post,process,24,1,4,10000,0,165346,0.241917,21.820,41.660,0,0.000,5.30
post,process,24,1,4,10000,1,151302,0.264372,23.640,53.040,0,0.000,5.30
post,process,24,1,4,10000,2,158569,0.252256,22.560,47.450,0,0.000,5.30
post,process,24,10,4,4000,0,918816,0.174137,37.690,76.060,0,0.000,5.30
post,process,24,10,4,4000,1,961375,0.166428,35.180,71.979,0,0.000,5.30
post,process,24,10,4,4000,2,998629,0.160220,33.010,64.310,0,0.000,5.30
post,process,24,100,4,800,0,2195168,0.145775,135.510,291.229,0,0.000,5.30
post,process,24,100,4,800,1,2176035,0.147056,133.820,292.800,0,0.000,5.30
post,process,24,100,4,800,2,2052027,0.155943,130.390,437.459,0,0.000,5.30
post,process,24,1000,4,100,0,8090493,0.049441,135.170,227.880,0,0.000,5.30
post,process,24,1000,4,100,1,7976159,0.050149,124.340,1673.007,0,0.000,5.30
post,process,24,1000,4,100,2,8886019,0.045015,120.590,426.569,0,0.000,5.30
post,os,24,1,4,40,0,370,0.432342,10088.307,13436.222,164,2621.201,5.30
post,os,24,1,4,40,1,371,0.431359,10129.556,15383.470,164,2610.175,5.30
post,os,24,1,4,40,2,353,0.453619,10171.117,25615.506,164,2747.886,5.30
post,os,24,10,4,30,0,3617,0.331760,10410.356,12024.455,124,2657.955,5.30
post,os,24,10,4,30,1,3529,0.340069,11250.475,13925.532,124,2715.322,5.30
post,os,24,10,4,30,2,3580,0.335157,10004.717,28065.403,124,2685.506,5.28
post,os,24,100,4,20,0,32765,0.244165,10303.347,26295.455,84,2862.847,5.28
post,os,24,100,4,20,1,31736,0.252083,10822.596,28002.363,84,2954.942,5.28
post,os,24,100,4,20,2,36529,0.219001,10361.336,12520.214,84,2572.217,5.28
post,os,24,1000,4,10,0,310366,0.128880,11234.155,17798.547,44,2838.578,5.28
post,os,24,1000,4,10,1,328705,0.121690,10579.676,18455.586,44,2715.852,5.28
post,os,24,1000,4,10,2,317926,0.125816,11804.405,17561.527,44,2796.484,5.28
post,group,24,1,4,200,0,1380,0.579825,2700.816,5998.332,203,2595.481,5.28
post,group,24,1,4,200,1,1332,0.600449,2700.706,5887.142,204,2690.134,5.28
post,group,24,1,4,200,2,1394,0.573839,2697.777,6666.602,203,2585.409,5.28
post,group,24,10,4,150,0,14068,0.426498,2709.476,4481.694,153,2547.583,5.28
post,group,24,10,4,150,1,12972,0.462540,2775.257,5921.142,153,2760.739,5.28
post,group,24,10,4,150,2,13133,0.456880,2729.116,7030.521,153,2732.632,5.28
post,group,24,100,4,100,0,126935,0.315121,2808.067,4413.574,104,2693.736,5.28
post,group,24,100,4,100,1,129823,0.308111,2785.637,4887.474,103,2665.517,5.18
post,group,24,100,4,100,2,122810,0.325706,2810.136,6154.442,104,2781.590,5.18
post,group,24,1000,4,50,0,822114,0.243275,4550.534,6381.632,53,3898.115,5.18
post,group,24,1000,4,50,1,825733,0.242209,4486.654,6508.571,54,3748.983,5.18
post,group,24,1000,4,50,2,994270,0.201153,3339.176,4894.473,53,3120.802,5.18
