phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
post,process,24,1,4,10000,0,145196,0.275490,24.200,63.110,0,0.000,5.66
post,process,24,1,4,10000,1,143392,0.278955,24.180,51.870,0,0.000,5.66
post,process,24,1,4,10000,2,173452,0.230612,20.200,37.850,0,0.000,5.66
post,process,24,10,4,4000,0,1033491,0.154815,31.150,81.700,0,0.000,5.66
post,process,24,10,4,4000,1,932957,0.171498,36.970,75.970,0,0.000,5.66
post,process,24,10,4,4000,2,980298,0.163216,34.140,68.550,0,0.000,5.66
post,process,24,100,4,800,0,2624343,0.121935,100.940,264.810,0,0.000,5.66
post,process,24,100,4,800,1,2341824,0.136646,111.040,276.380,0,0.000,5.45
post,process,24,100,4,800,2,2556961,0.125149,104.910,256.600,0,0.000,5.45
post,process,24,1000,4,100,0,8190862,0.048835,140.550,278.479,0,0.000,5.45
post,process,24,1000,4,100,1,8577508,0.046634,122.410,289.310,0,0.000,5.45
post,process,24,1000,4,100,2,7618887,0.052501,125.670,540.729,0,0.000,5.45
post,os,24,1,4,40,0,369,0.434093,10230.731,15365.407,164,2620.227,5.45
post,os,24,1,4,40,1,377,0.424905,10119.432,11911.380,164,2566.147,5.45
post,os,24,1,4,40,2,355,0.451071,10214.631,20097.263,164,2728.565,5.45
post,os,24,10,4,30,0,3631,0.330510,10493.882,12660.650,124,2630.362,5.45
post,os,24,10,4,30,1,3660,0.327827,10345.521,15325.657,124,2623.351,5.45
post,os,24,10,4,30,2,3636,0.330002,10198.352,13298.969,124,2640.559,5.45
post,os,24,100,4,20,0,34740,0.230283,11120.791,12203.979,84,2688.342,5.45
post,os,24,100,4,20,1,31529,0.253738,11071.770,22597.721,84,2974.559,5.45
post,os,24,100,4,20,2,35028,0.228387,10771.940,12227.530,84,2670.086,5.45
post,os,24,1000,4,10,0,291610,0.137170,12506.930,22210.972,44,3024.577,5.45
post,os,24,1000,4,10,1,322774,0.123926,11526.001,19777.883,44,2744.031,5.45
post,os,24,1000,4,10,2,316628,0.126331,11815.230,17647.096,44,2821.643,5.45
post,group,24,1,4,200,0,1381,0.579095,2701.238,4430.886,203,2607.609,5.41
post,group,24,1,4,200,1,1318,0.607075,2705.038,6032.165,203,2732.347,5.41
post,group,24,1,4,200,2,1376,0.581429,2704.128,4882.956,203,2601.963,5.41
post,group,24,10,4,150,0,12881,0.465816,2717.208,6108.524,153,2797.266,5.41
post,group,24,10,4,150,1,13566,0.442267,2720.808,4727.246,153,2627.695,5.41
post,group,24,10,4,150,2,13498,0.444517,2706.668,4607.837,153,2649.990,5.41
post,group,24,100,4,100,0,129547,0.308769,2796.957,4562.317,103,2635.415,5.41
post,group,24,100,4,100,1,123426,0.324080,2827.057,4695.176,103,2821.141,5.41
post,group,24,100,4,100,2,125942,0.317606,2791.487,5116.405,103,2741.881,5.41
post,group,24,1000,4,50,0,886933,0.225496,3545.097,6144.205,54,3477.803,5.41
post,group,24,1000,4,50,1,915558,0.218446,3439.258,6200.055,53,3366.909,5.41
post,group,24,1000,4,50,2,860426,0.232443,3583.997,6224.715,54,3589.822,5.41
