phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
post,process,24,1,4,10000,0,147081,0.271959,23.980,53.720,0,0.000,5.90
post,process,24,1,4,10000,1,160313,0.249511,22.840,45.380,0,0.000,5.75
post,process,24,1,4,10000,2,167153,0.239302,20.690,41.750,0,0.000,5.75
post,process,24,10,4,4000,0,923595,0.173236,36.090,86.360,0,0.000,5.75
post,process,24,10,4,4000,1,943487,0.169584,35.760,81.580,0,0.000,5.75
post,process,24,10,4,4000,2,934132,0.171282,36.420,78.750,0,0.000,5.75
post,process,24,100,4,800,0,2172151,0.147319,129.480,280.500,0,0.000,5.75
post,process,24,100,4,800,1,2273968,0.140723,125.110,311.780,0,0.000,5.75
post,process,24,100,4,800,2,2165743,0.147755,132.200,282.710,0,0.000,5.75
post,process,24,1000,4,100,0,8247357,0.048500,136.629,883.110,0,0.000,5.75
post,process,24,1000,4,100,1,8882685,0.045031,109.520,220.510,0,0.000,5.75
post,process,24,1000,4,100,2,8228285,0.048613,118.040,209.030,0,0.000,5.75
post,os,24,1,4,40,0,334,0.479535,11436.751,15447.628,164,2903.394,5.75
post,os,24,1,4,40,1,324,0.493101,11524.131,26752.211,164,2987.151,5.75
post,os,24,1,4,40,2,340,0.470137,11168.011,16316.468,164,2844.722,5.75
post,os,24,10,4,30,0,232,5.164994,25785.771,883303.296,124,41620.619,6.17
post,os,24,10,4,30,1,2200,0.545498,11958.791,171319.784,124,4369.518,5.92
post,os,24,10,4,30,2,3145,0.381527,11801.801,25498.041,124,3041.165,5.92
post,os,24,100,4,20,0,30586,0.261561,12347.951,14405.859,84,3054.693,5.76
post,os,24,100,4,20,1,30419,0.262990,12464.790,16650.108,84,3080.815,5.76
post,os,24,100,4,20,2,29926,0.267329,12258.091,14794.529,84,3126.386,5.76
post,os,24,1000,4,10,0,283162,0.141262,13200.651,23557.883,44,3135.959,5.76
post,os,24,1000,4,10,1,270689,0.147771,14016.140,22640.444,44,3256.295,5.76
post,os,24,1000,4,10,2,282211,0.141738,13068.080,20514.165,44,3129.307,5.76
post,group,24,1,4,200,0,1259,0.635238,2885.748,5222.576,203,2877.311,5.76
post,group,24,1,4,200,1,1236,0.647381,2841.648,5447.696,203,2936.155,5.76
post,group,24,1,4,200,2,1217,0.657265,2866.918,7311.414,203,2984.305,5.76
post,group,24,10,4,150,0,11727,0.511657,2991.408,6219.625,153,3065.703,5.76
post,group,24,10,4,150,1,8514,0.704710,2991.678,50651.252,153,4340.695,5.76
post,group,24,10,4,150,2,10936,0.548652,3045.438,7620.315,153,3316.662,5.46
post,group,24,100,4,100,0,104977,0.381036,3336.178,5546.976,103,3356.476,5.46
post,group,24,100,4,100,1,109149,0.366472,3549.647,5098.246,103,3186.040,5.46
post,group,24,100,4,100,2,108987,0.367017,3382.587,6119.776,103,3209.733,5.46
post,group,24,1000,4,50,0,674230,0.296635,5262.306,7960.384,54,4809.271,5.46
post,group,24,1000,4,50,1,713198,0.280427,5101.626,6620.935,53,4610.465,5.46
post,group,24,1000,4,50,2,687774,0.290793,5129.386,8092.063,53,4826.908,5.46
