phase,batch,rep,appends,alloc_calls,alloc_bytes,alloc_calls_per_append,alloc_bytes_per_append,thread_cpu_ns_per_append,wall_ns_per_append,events_per_s,fsyncs
post,1,0,256,0,0,0.000000,0.000,1064.062,1060.387,943052,0
post,1,1,256,0,0,0.000000,0.000,1102.266,1133.477,882241,0
post,1,2,256,0,0,0.000000,0.000,1042.109,1038.320,963094,0
post,10,0,256,0,0,0.000000,0.000,1636.797,1633.551,6121634,0
post,10,1,256,0,0,0.000000,0.000,1677.777,2059.449,4855667,0
post,10,2,256,0,0,0.000000,0.000,1820.938,1882.500,5312085,0
post,100,0,256,256,1310720,1.000000,5120.000,7969.297,8050.227,12422011,0
post,100,1,256,256,1310720,1.000000,5120.000,7545.430,7586.512,13181289,0
post,100,2,256,256,1310720,1.000000,5120.000,7556.133,7629.676,13106717,0
post,1000,0,256,256,10485760,1.000000,40960.000,67283.492,67851.707,14738023,0
post,1000,1,256,256,10485760,1.000000,40960.000,54226.383,54747.195,18265776,0
post,1000,2,256,256,10485760,1.000000,40960.000,58749.352,59412.461,16831486,0
