phase,batch,rep,appends,alloc_calls,alloc_bytes,alloc_calls_per_append,alloc_bytes_per_append,thread_cpu_ns_per_append,wall_ns_per_append,events_per_s,fsyncs
post,1,0,256,0,0,0.000000,0.000,1214.531,1209.488,826796,0
post,1,1,256,0,0,0.000000,0.000,1078.281,1098.633,910222,0
post,1,2,256,0,0,0.000000,0.000,1035.508,1031.953,969036,0
post,10,0,256,0,0,0.000000,0.000,1643.164,1639.605,6099028,0
post,10,1,256,0,0,0.000000,0.000,1627.031,1622.770,6162305,0
post,10,2,256,0,0,0.000000,0.000,1636.016,1631.988,6127495,0
post,100,0,256,256,1310720,1.000000,5120.000,7290.195,7373.035,13562935,0
post,100,1,256,256,1310720,1.000000,5120.000,7234.805,7308.543,13682618,0
post,100,2,256,256,1310720,1.000000,5120.000,7572.344,7661.906,13051582,0
post,1000,0,256,256,10485760,1.000000,40960.000,53089.270,53488.516,18695602,0
post,1000,1,256,256,10485760,1.000000,40960.000,56166.891,56748.590,17621583,0
post,1000,2,256,256,10485760,1.000000,40960.000,53634.469,54065.586,18496054,0
