phase,batch,rep,appends,alloc_calls,alloc_bytes,alloc_calls_per_append,alloc_bytes_per_append,thread_cpu_ns_per_append,wall_ns_per_append,events_per_s,fsyncs
post,1,0,256,0,0,0.000000,0.000,1079.492,1141.328,876172,0
post,1,1,256,0,0,0.000000,0.000,1053.242,1049.258,953055,0
post,1,2,256,0,0,0.000000,0.000,1078.672,1074.648,930537,0
post,10,0,256,0,0,0.000000,0.000,1647.812,1673.082,5976993,0
post,10,1,256,0,0,0.000000,0.000,1659.652,1655.156,6041726,0
post,10,2,256,0,0,0.000000,0.000,1645.078,1672.422,5979353,0
post,100,0,256,256,1310720,1.000000,5120.000,7513.789,7582.922,13187529,0
post,100,1,256,256,1310720,1.000000,5120.000,7304.492,7369.758,13568967,0
post,100,2,256,256,1310720,1.000000,5120.000,12595.043,12687.645,7881684,0
post,1000,0,256,256,10485760,1.000000,40960.000,69883.688,70547.320,14174883,0
post,1000,1,256,256,10485760,1.000000,40960.000,55273.805,55742.410,17939662,0
post,1000,2,256,256,10485760,1.000000,40960.000,65327.750,65936.352,15166141,0
