phase,batch,rep,appends,alloc_calls,alloc_bytes,alloc_calls_per_append,alloc_bytes_per_append,thread_cpu_ns_per_append,wall_ns_per_append,events_per_s,fsyncs
post,1,0,256,0,0,0.000000,0.000,1415.859,1388.551,720175,0
post,1,1,256,0,0,0.000000,0.000,1065.742,1062.145,941491,0
post,1,2,256,0,0,0.000000,0.000,1056.523,1085.469,921261,0
post,10,0,256,0,0,0.000000,0.000,1739.844,1784.488,5603847,0
post,10,1,256,0,0,0.000000,0.000,1705.977,1701.988,5875481,0
post,10,2,256,0,0,0.000000,0.000,1692.578,1693.594,5904604,0
post,100,0,256,256,1310720,1.000000,5120.000,9427.621,9455.387,10575982,0
post,100,1,256,256,1310720,1.000000,5120.000,7473.285,7543.938,13255677,0
post,100,2,256,256,1310720,1.000000,5120.000,12793.910,12887.844,7759250,0
post,1000,0,256,256,10485760,1.000000,40960.000,61886.852,62366.477,16034255,0
post,1000,1,256,256,10485760,1.000000,40960.000,68357.398,69087.605,14474376,0
post,1000,2,256,256,10485760,1.000000,40960.000,64433.570,65486.668,15270284,0
