dataset,n,u_over_n,cand,build_p50_us,build_p99_us,open_p50_us,open_p99_us,ser_bytes,res_bytes,warm_hit_p50_ns,warm_hit_p99_ns,warm_zipf_p50_ns,warm_zipf_p99_ns,warm_miss_p50_ns,warm_miss_p99_ns,batch32_ns_per_op,serial_ns_per_op,coldish_p50_ns,coldish_p99_ns
real-seg1-n2022,2022,1.00,h0_hashmap_sip,64.6,180.7,92.2,144.5,113252,249736,10.0,30.0,10.0,20.0,0.0,10.0,12.19,16.69,120.0,730.0
real-seg1-n2022,2022,1.00,h0f_hashmap_fold,22.3,51.6,40.8,41.3,113252,249728,0.0,10.0,0.0,10.0,0.0,0.0,5.28,11.69,80.0,920.0
real-seg1-n2022,2022,1.00,h1_sorted,3.4,8.0,12.0,12.3,113252,113280,10.0,20.0,10.0,20.0,10.0,20.0,18.27,30.04,100.0,1170.0
real-seg1-n2022,2022,1.00,h2_bitrank,4.1,6.3,9.3,11.7,97348,97512,0.0,10.0,0.0,0.0,0.0,0.0,4.09,7.81,60.0,650.0
real-seg1-n2022,2022,1.00,h3_pef,7.8,12.2,9.3,11.3,97716,98016,60.0,130.0,50.0,120.0,0.0,0.0,60.40,65.60,110.0,1120.0
real-seg1-n2022,2022,1.00,h4_ptrhash,162.3,175.4,183.0,191.4,113252,115309,0.0,0.0,0.0,0.0,0.0,0.0,6.54,13.06,80.0,720.0
real-seg1-n2022,2022,1.00,h5_kbin,61.4,67.1,77.6,78.3,113252,130232,0.0,30.0,0.0,30.0,0.0,30.0,15.38,18.50,80.0,770.0
real-seg2-n2070,2070,1.58,h0_hashmap_sip,47.9,140.8,71.6,78.1,115940,250120,9.7,20.0,0.0,20.0,0.0,20.0,12.53,17.77,100.0,790.0
real-seg2-n2070,2070,1.58,h0f_hashmap_fold,31.5,94.4,42.9,45.4,115940,250112,0.0,10.0,0.0,0.0,0.0,9.7,5.68,11.63,89.7,850.0
real-seg2-n2070,2070,1.58,h1_sorted,3.1,4.3,12.0,12.5,115940,115968,19.7,20.0,10.0,30.0,10.0,20.0,20.69,32.13,130.0,1150.0
real-seg2-n2070,2070,1.58,h2_bitrank,3.9,6.6,9.1,10.8,99812,100028,0.0,10.0,0.0,0.0,0.0,0.0,4.03,7.46,60.0,770.0
real-seg2-n2070,2070,1.58,h3_pef,11.0,14.0,10.4,11.6,100169,100496,60.0,130.0,60.0,130.0,60.0,130.0,81.82,78.96,140.0,1210.0
real-seg2-n2070,2070,1.58,h4_ptrhash,158.8,172.0,175.7,188.4,115940,118013,0.0,0.0,0.0,0.0,0.0,0.0,6.59,13.19,80.0,830.0
real-seg2-n2070,2070,1.58,h5_kbin,66.3,71.5,82.4,86.9,115940,133112,0.0,30.0,0.0,39.7,0.0,20.0,15.43,18.52,90.0,930.0
real-seg3-n2017,2017,2.05,h0_hashmap_sip,49.3,161.2,65.8,66.2,112972,249696,9.7,20.0,0.0,20.0,0.0,10.0,12.12,16.90,100.0,830.0
real-seg3-n2017,2017,2.05,h0f_hashmap_fold,20.1,23.7,40.0,40.8,112972,249688,0.0,20.0,0.0,20.0,0.0,20.0,7.05,13.66,90.0,890.0
real-seg3-n2017,2017,2.05,h1_sorted,4.3,12.3,16.4,16.6,112972,113000,10.0,20.0,10.0,20.0,10.0,20.0,18.77,29.93,120.0,1280.0
real-seg3-n2017,2017,2.05,h2_bitrank,3.8,5.6,9.3,10.5,97372,97622,0.0,0.0,0.0,0.0,0.0,0.0,4.05,7.38,60.0,760.0
real-seg3-n2017,2017,2.05,h3_pef,9.2,26.5,9.2,11.7,97676,97976,60.0,130.0,60.0,129.7,60.0,160.0,87.62,82.74,160.0,1240.0
real-seg3-n2017,2017,2.05,h4_ptrhash,159.8,168.0,174.0,177.1,112972,115028,0.0,0.0,0.0,0.0,0.0,10.0,8.27,14.06,80.0,870.0
real-seg3-n2017,2017,2.05,h5_kbin,64.8,71.9,79.1,81.0,112972,131720,0.0,30.0,0.0,30.0,0.0,30.0,15.20,20.51,90.0,870.0
real-seg4-n2007,2007,2.40,h0_hashmap_sip,45.3,160.0,65.5,76.9,112412,249616,0.0,20.0,0.0,10.0,0.0,19.7,12.41,16.88,100.0,820.0
real-seg4-n2007,2007,2.40,h0f_hashmap_fold,20.0,25.3,39.7,40.8,112412,249608,0.0,10.0,0.0,0.0,0.0,10.0,5.52,11.74,90.0,970.0
real-seg4-n2007,2007,2.40,h1_sorted,3.2,6.7,11.9,12.3,112412,112440,20.0,30.0,20.0,30.0,10.0,20.0,23.08,32.37,120.0,1110.0
real-seg4-n2007,2007,2.40,h2_bitrank,4.3,8.9,11.8,12.1,96980,97256,0.0,0.0,0.0,0.0,0.0,0.0,4.05,7.90,60.0,720.0
real-seg4-n2007,2007,2.40,h3_pef,8.3,13.0,9.3,9.7,97244,97544,70.0,140.0,60.0,130.0,60.0,140.0,88.47,86.28,160.0,1180.0
real-seg4-n2007,2007,2.40,h4_ptrhash,157.5,178.1,169.7,183.5,112412,114464,0.0,0.0,0.0,0.0,0.0,0.0,6.52,13.11,80.0,860.0
real-seg4-n2007,2007,2.40,h5_kbin,65.6,75.6,78.5,79.7,112412,129320,0.0,30.0,0.0,30.0,0.0,20.0,15.42,18.56,90.0,880.0
real-seg5-n2011,2011,2.71,h0_hashmap_sip,44.9,133.9,65.3,65.6,112636,249648,0.0,20.0,0.0,20.0,0.0,20.0,12.42,16.72,110.0,810.0
real-seg5-n2011,2011,2.71,h0f_hashmap_fold,19.9,24.9,52.8,55.1,112636,249640,0.0,0.0,0.0,9.7,0.0,10.0,5.48,11.61,80.0,880.0
real-seg5-n2011,2011,2.71,h1_sorted,3.3,7.5,12.1,12.7,112636,112664,10.0,20.0,10.0,20.0,10.0,20.0,18.37,29.75,130.0,1140.0
real-seg5-n2011,2011,2.71,h2_bitrank,4.0,6.7,9.4,9.5,97252,97552,0.0,10.0,0.0,0.0,0.0,0.0,5.56,9.58,60.0,760.0
real-seg5-n2011,2011,2.71,h3_pef,8.6,15.9,9.3,9.8,97476,97776,70.0,160.0,60.0,140.0,70.0,180.0,94.58,92.63,160.0,1140.0
real-seg5-n2011,2011,2.71,h4_ptrhash,170.4,179.1,178.6,205.1,112636,114690,0.0,0.0,0.0,0.0,0.0,10.0,6.49,13.10,80.0,870.0
real-seg5-n2011,2011,2.71,h5_kbin,63.9,66.6,79.5,82.6,112636,129576,0.0,30.0,0.0,30.0,0.0,30.0,15.50,18.33,80.0,920.0
real-seg6-n2006,2006,2.99,h0_hashmap_sip,44.6,146.1,65.3,65.5,112356,249608,0.0,20.0,0.0,10.0,0.0,10.0,12.53,17.04,110.0,850.0
real-seg6-n2006,2006,2.99,h0f_hashmap_fold,19.9,35.3,39.5,40.1,112356,249600,0.0,10.0,0.0,9.7,0.0,10.0,5.63,11.66,80.0,930.0
real-seg6-n2006,2006,2.99,h1_sorted,3.3,4.3,12.0,12.4,112356,112384,20.0,30.0,10.0,20.0,10.0,20.0,19.11,29.72,120.0,1160.0
real-seg6-n2006,2006,2.99,h2_bitrank,3.8,8.5,9.4,9.5,97076,97396,0.0,0.0,0.0,0.0,0.0,0.0,4.08,7.40,60.0,750.0
real-seg6-n2006,2006,2.99,h3_pef,8.3,15.2,9.2,16.1,97260,97560,70.0,149.7,70.0,140.0,69.7,149.7,90.50,89.86,169.7,1280.0
