dataset,n,u_over_n,cand,build_p50_us,build_p99_us,open_p50_us,open_p99_us,ser_bytes,res_bytes,warm_hit_p50_ns,warm_hit_p99_ns,warm_zipf_p50_ns,warm_zipf_p99_ns,warm_miss_p50_ns,warm_miss_p99_ns,batch32_ns_per_op,serial_ns_per_op,coldish_p50_ns,coldish_p99_ns
real-seg1-n7839,7839,1.00,h0_hashmap_sip,188.4,562.3,283.0,309.6,439004,996688,10.0,30.0,0.0,20.0,0.0,20.0,18.26,21.69,179.8,790.0
real-seg1-n7839,7839,1.00,h0f_hashmap_fold,127.1,196.8,216.7,275.1,439004,996680,0.0,10.0,0.0,40.0,0.0,10.0,5.90,15.27,169.8,1000.0
real-seg1-n7839,7839,1.00,h1_sorted,14.3,31.6,45.4,48.4,439004,439032,20.0,30.0,20.0,59.8,20.0,30.0,25.42,39.13,310.0,1310.0
real-seg1-n7839,7839,1.00,h2_bitrank,15.4,21.9,34.3,36.3,377292,377686,0.0,0.0,0.0,0.0,0.0,0.0,4.50,8.77,70.0,580.0
real-seg1-n7839,7839,1.00,h3_pef,31.5,38.4,34.5,38.5,378679,379600,50.0,90.0,50.0,120.0,0.0,19.8,65.21,58.55,130.0,1140.0
real-seg1-n7839,7839,1.00,h4_ptrhash,572.6,616.6,667.2,686.2,439004,446304,0.0,0.0,0.0,9.8,0.0,0.0,7.04,15.13,110.0,700.0
real-seg1-n7839,7839,1.00,h5_kbin,252.7,271.8,340.7,353.0,439004,505384,0.0,50.0,0.0,50.0,0.0,30.0,17.62,22.29,100.0,1090.0
real-seg2-n7947,7947,1.56,h0_hashmap_sip,418.2,676.0,382.8,451.6,445052,997552,19.8,40.0,9.8,20.0,0.0,30.0,14.65,20.12,190.0,880.0
real-seg2-n7947,7947,1.56,h0f_hashmap_fold,115.6,493.5,175.3,212.3,445052,997544,0.0,20.0,0.0,10.0,0.0,20.0,7.93,15.02,160.0,860.0
real-seg2-n7947,7947,1.56,h1_sorted,14.4,24.9,46.9,55.1,445052,445080,20.0,30.0,20.0,30.0,20.0,30.0,25.39,40.15,340.0,1340.0
real-seg2-n7947,7947,1.56,h2_bitrank,15.4,33.8,35.1,35.3,383044,383616,0.0,0.0,0.0,0.0,0.0,0.0,4.37,8.91,70.0,730.0
real-seg2-n7947,7947,1.56,h3_pef,34.2,44.4,35.6,41.3,384380,385328,60.0,180.0,69.8,160.0,70.0,180.0,92.53,92.31,170.0,1380.0
real-seg2-n7947,7947,1.56,h4_ptrhash,582.7,596.3,677.8,711.2,445052,452444,0.0,0.0,0.0,10.0,0.0,10.0,7.44,15.73,140.0,790.0
real-seg2-n7947,7947,1.56,h5_kbin,257.6,264.9,339.3,343.8,445052,511976,0.0,40.0,0.0,49.8,0.0,30.0,17.33,22.43,90.0,1080.0
real-seg3-n8056,8056,1.98,h0_hashmap_sip,206.3,645.5,289.8,312.4,451156,998424,10.0,20.0,10.0,90.0,0.0,20.0,15.24,20.55,180.0,860.0
real-seg3-n8056,8056,1.98,h0f_hashmap_fold,104.8,208.9,165.2,223.9,451156,998416,0.0,20.0,0.0,10.0,0.0,20.0,8.07,17.31,160.0,820.0
real-seg3-n8056,8056,1.98,h1_sorted,17.5,37.1,60.9,65.3,451156,451184,20.0,30.0,20.0,40.0,20.0,40.0,25.68,40.19,330.0,1300.0
real-seg3-n8056,8056,1.98,h2_bitrank,17.0,61.2,35.7,39.2,388724,389436,0.0,0.0,0.0,0.0,0.0,0.0,4.40,9.04,70.0,690.0
real-seg3-n8056,8056,1.98,h3_pef,33.9,43.8,35.4,35.6,389916,390864,80.0,220.0,60.0,180.0,80.0,210.0,107.57,103.04,190.0,1240.0
real-seg3-n8056,8056,1.98,h4_ptrhash,584.8,635.6,680.8,710.0,451156,458641,0.0,10.0,0.0,0.0,0.0,0.0,7.11,15.43,140.0,760.0
real-seg3-n8056,8056,1.98,h5_kbin,260.7,271.0,348.3,356.3,451156,518616,0.0,49.8,0.0,50.0,0.0,40.0,17.57,22.57,90.0,1040.0
real-seg4-n7983,7983,2.35,h0_hashmap_sip,201.2,567.9,302.0,324.3,447068,997840,10.0,30.0,0.0,20.0,0.0,20.0,14.54,20.54,180.0,880.0
real-seg4-n7983,7983,2.35,h0f_hashmap_fold,105.5,140.1,171.7,229.3,447068,997832,0.0,10.0,0.0,10.0,0.0,10.0,6.86,15.25,160.0,900.0
real-seg4-n7983,7983,2.35,h1_sorted,14.5,27.4,46.5,47.0,447068,447096,20.0,40.0,20.0,40.0,20.0,30.0,26.31,40.34,350.0,1340.0
real-seg4-n7983,7983,2.35,h2_bitrank,15.7,28.1,35.6,42.5,385564,386382,0.0,0.0,0.0,0.0,0.0,0.0,4.27,8.83,70.0,690.0
real-seg4-n7983,7983,2.35,h3_pef,34.2,46.0,35.3,35.6,386596,387544,70.0,200.0,50.0,190.0,80.0,210.0,107.61,106.88,190.0,1240.0
real-seg4-n7983,7983,2.35,h4_ptrhash,593.5,615.7,682.8,754.6,447068,454472,0.0,9.8,0.0,0.0,0.0,0.0,7.80,15.38,130.0,780.0
real-seg4-n7983,7983,2.35,h5_kbin,259.1,287.0,345.3,355.0,447068,514152,9.8,60.0,0.0,50.0,0.0,50.0,20.72,21.74,100.0,1070.0
real-seg5-n7877,7877,2.67,h0_hashmap_sip,328.4,897.8,379.1,461.2,441132,996992,10.0,20.0,9.8,20.0,0.0,20.0,15.33,20.16,170.0,790.0
real-seg5-n7877,7877,2.67,h0f_hashmap_fold,97.4,134.1,177.4,260.2,441132,996984,0.0,10.0,0.0,10.0,0.0,10.0,6.82,15.18,160.0,900.0
real-seg5-n7877,7877,2.67,h1_sorted,14.4,41.9,46.0,49.3,441132,441160,20.0,30.0,20.0,30.0,20.0,30.0,25.59,39.77,340.0,1370.0
real-seg5-n7877,7877,2.67,h2_bitrank,15.0,25.4,35.0,35.4,380764,381674,0.0,0.0,0.0,0.0,0.0,0.0,5.07,9.29,70.0,730.0
real-seg5-n7877,7877,2.67,h3_pef,34.1,66.8,38.3,44.1,381615,382536,80.0,200.0,60.0,190.0,80.0,200.0,108.84,109.45,200.0,1400.0
real-seg5-n7877,7877,2.67,h4_ptrhash,586.1,596.5,659.7,681.5,441132,448445,0.0,0.0,0.0,9.8,0.0,0.0,7.08,15.34,120.0,830.0
real-seg5-n7877,7877,2.67,h5_kbin,252.5,270.1,337.9,346.3,441132,507720,0.0,50.0,0.0,40.0,0.0,30.0,17.21,21.98,90.0,1020.0
real-seg6-n8003,8003,2.87,h0_hashmap_sip,196.2,432.5,299.1,305.3,448188,998000,10.0,20.0,0.0,20.0,0.0,20.0,14.84,20.09,179.8,930.0
real-seg6-n8003,8003,2.87,h0f_hashmap_fold,104.2,344.1,174.0,216.5,448188,997992,0.0,20.0,0.0,10.0,0.0,10.0,5.99,15.77,150.0,860.0
real-seg6-n8003,8003,2.87,h1_sorted,15.4,28.9,46.6,48.5,448188,448216,20.0,30.0,20.0,40.0,20.0,30.0,26.02,40.27,350.0,1410.0
real-seg6-n8003,8003,2.87,h2_bitrank,15.4,28.1,36.0,36.3,387060,388044,0.0,0.0,0.0,0.0,0.0,0.0,4.58,9.96,70.0,620.0
real-seg6-n8003,8003,2.87,h3_pef,34.4,38.4,35.3,35.5,387828,388776,90.0,210.0,80.0,200.0,90.0,209.8,113.62,112.46,200.0,1330.0
real-seg6-n8003,8003,2.87,h4_ptrhash,552.0,590.0,639.8,668.4,448188,455599,0.0,10.0,0.0,0.0,0.0,0.0,7.83,15.44,140.0,790.0
real-seg6-n8003,8003,2.87,h5_kbin,262.8,273.2,338.9,346.2,448188,515368,0.0,40.0,0.0,50.0,0.0,40.0,16.88,22.59,99.8,1030.0
real-seg7-n7976,7976,3.08,h0_hashmap_sip,198.4,449.6,273.2,288.3,446676,997784,10.0,20.0,0.0,20.0,0.0,20.0,14.98,20.59,180.0,890.0
real-seg7-n7976,7976,3.08,h0f_hashmap_fold,184.0,410.9,185.6,221.3,446676,997776,0.0,10.0,0.0,10.0,0.0,10.0,6.50,15.25,160.0,850.0
real-seg7-n7976,7976,3.08,h1_sorted,14.5,22.3,46.5,53.6,446676,446704,20.0,30.0,20.0,30.0,20.0,30.0,25.29,40.09,350.0,1430.0
real-seg7-n7976,7976,3.08,h2_bitrank,15.3,24.3,38.7,43.3,385964,387014,0.0,0.0,0.0,0.0,0.0,0.0,4.26,8.92,70.0,700.0
real-seg7-n7976,7976,3.08,h3_pef,47.0,76.6,51.7,57.3,386612,387560,90.0,210.0,70.0,210.0,90.0,220.0,117.76,118.46,210.0,1390.0
real-seg7-n7976,7976,3.08,h4_ptrhash,600.1,624.0,666.5,692.4,446676,454078,0.0,10.0,0.0,9.8,0.0,0.0,8.73,15.32,130.0,760.0
real-seg7-n7976,7976,3.08,h5_kbin,259.2,265.0,349.6,380.6,446676,513752,0.0,50.0,0.0,40.0,0.0,30.0,18.38,21.93,100.0,1050.0
real-seg8-n7963,7963,3.27,h0_hashmap_sip,189.1,443.5,275.6,294.2,445948,997680,10.0,30.0,10.0,20.0,0.0,20.0,15.30,20.39,180.0,860.0
