dataset,n,u_over_n,cand,build_p50_us,build_p99_us,open_p50_us,open_p99_us,ser_bytes,res_bytes,warm_hit_p50_ns,warm_hit_p99_ns,warm_zipf_p50_ns,warm_zipf_p99_ns,warm_miss_p50_ns,warm_miss_p99_ns,batch32_ns_per_op,serial_ns_per_op,coldish_p50_ns,coldish_p99_ns
dense-1k,1000,1.50,h0_hashmap_sip,21.9,69.3,31.8,39.4,56020,124824,10.0,30.0,0.0,10.0,0.0,30.0,12.17,16.38,90.0,800.0
dense-1k,1000,1.50,h0f_hashmap_fold,19.3,39.9,28.4,33.0,56020,124816,0.0,10.0,0.0,0.0,0.0,10.0,5.83,11.45,80.0,960.0
dense-1k,1000,1.50,h1_sorted,1.5,2.5,6.4,6.4,56020,56048,10.0,20.0,10.0,19.8,10.0,20.0,21.10,27.32,80.0,1030.0
dense-1k,1000,1.50,h2_bitrank,2.0,3.0,5.6,5.9,48228,48372,0.0,9.8,0.0,9.8,0.0,0.0,5.04,8.10,60.0,570.0
dense-1k,1000,1.50,h3_pef,3.6,5.3,4.6,4.9,48408,48600,60.0,120.0,50.0,120.0,50.0,120.0,81.44,78.03,150.0,1050.0
dense-1k,1000,1.50,h4_ptrhash,109.1,139.6,127.5,141.4,56020,57177,0.0,0.0,0.0,0.0,0.0,0.0,6.42,12.59,79.8,620.0
dense-1k,1000,1.50,h5_kbin,30.6,33.5,41.6,44.2,56020,64472,0.0,20.0,0.0,30.0,0.0,20.0,14.98,20.57,80.0,740.0
sparse-1k,1000,997.46,h0_hashmap_sip,23.1,81.9,32.6,38.5,56020,124824,0.0,20.0,0.0,10.0,0.0,20.0,14.56,18.06,90.0,780.0
sparse-1k,1000,997.46,h0f_hashmap_fold,8.9,13.3,19.3,19.9,56020,124816,0.0,10.0,0.0,0.0,0.0,10.0,6.09,11.39,80.0,800.0
sparse-1k,1000,997.46,h1_sorted,1.5,3.6,6.4,6.8,56020,56048,10.0,30.0,10.0,30.0,10.0,20.0,20.43,28.78,80.0,1010.0
sparse-1k,1000,997.46,h3_pef,4.3,6.8,4.6,5.1,49592,49784,70.0,140.0,60.0,139.8,70.0,150.0,91.05,92.04,180.0,1230.0
sparse-1k,1000,997.46,h4_ptrhash,93.5,97.4,98.5,104.4,56020,57177,0.0,0.0,0.0,0.0,0.0,0.0,6.48,12.63,80.0,730.0
sparse-1k,1000,997.46,h5_kbin,30.8,33.1,41.6,42.7,56020,64472,0.0,20.0,0.0,20.0,0.0,20.0,14.81,17.86,80.0,820.0
