cell,engine,mode,payload,batch,writers,bpw,shape,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-p24-b10,bare,process,24,10,4,12500,perwriter,0,2932533,0.1705,11.2,24.1,0,0.0
proc-p24-b10,log,process,24,10,4,12500,perwriter,0,520056,0.9614,67.5,190.7,0,0.0
proc-p24-b10,b0,process,24,10,4,12500,perwriter,0,764478,0.6540,46.9,79.5,0,0.0
proc-p24-b10,b1,process,24,10,4,12500,perwriter,0,919170,0.5440,39.0,70.9,0,0.0
proc-p24-b10,b0d,process,24,10,4,12500,perwriter,0,1168925,0.4277,26.4,101.5,0,0.0
proc-p24-b10,b0dth,process,24,10,4,12500,perwriter,0,1812800,0.2758,19.1,32.8,0,0.0
proc-p24-b10,b0dth,process,24,10,4,12500,perwriter,1,1752629,0.2853,19.6,34.7,0,0.0
proc-p24-b10,b0d,process,24,10,4,12500,perwriter,1,1237663,0.4040,25.8,60.9,0,0.0
proc-p24-b10,b1,process,24,10,4,12500,perwriter,1,770888,0.6486,42.2,132.6,0,0.0
proc-p24-b10,b0,process,24,10,4,12500,perwriter,1,744206,0.6719,45.3,107.2,0,0.0
proc-p24-b10,log,process,24,10,4,12500,perwriter,1,508348,0.9836,67.9,252.0,0,0.0
proc-p24-b10,bare,process,24,10,4,12500,perwriter,1,2959586,0.1689,11.2,22.8,0,0.0
proc-p24-b10,bare,process,24,10,4,12500,perwriter,2,3167268,0.1579,10.8,21.5,0,0.0
proc-p24-b10,log,process,24,10,4,12500,perwriter,2,557360,0.8971,62.0,194.9,0,0.0
proc-p24-b10,b0,process,24,10,4,12500,perwriter,2,713335,0.7009,48.3,115.3,0,0.0
proc-p24-b10,b1,process,24,10,4,12500,perwriter,2,830410,0.6021,39.8,105.7,0,0.0
proc-p24-b10,b0d,process,24,10,4,12500,perwriter,2,1314926,0.3802,26.0,55.5,0,0.0
proc-p24-b10,b0dth,process,24,10,4,12500,perwriter,2,1852386,0.2699,18.8,31.7,0,0.0
group-p24-b10,bare,group,24,10,4,500,perwriter,0,14520,1.3774,2509.6,5617.4,502,2692.1
group-p24-b10,log,group,24,10,4,500,perwriter,0,14295,1.3991,2597.7,5838.5,503,2662.8
group-p24-b10,b0,group,24,10,4,500,perwriter,0,13570,1.4739,2706.5,5908.1,501,2682.1
group-p24-b10,b1,group,24,10,4,500,perwriter,0,13787,1.4507,2716.1,4840.9,500,2645.8
group-p24-b10,b0d,group,24,10,4,500,perwriter,0,13887,1.4402,2704.2,5831.8,500,2643.2
group-p24-b10,b0dth,group,24,10,4,500,perwriter,0,13890,1.4399,2696.5,5842.4,501,2637.1
group-p24-b10,b0dth,group,24,10,4,500,perwriter,1,14491,1.3801,2692.0,5019.1,502,2493.8
group-p24-b10,b0d,group,24,10,4,500,perwriter,1,14580,1.3717,2693.4,5844.9,500,2505.2
group-p24-b10,b1,group,24,10,4,500,perwriter,1,14717,1.3589,2696.7,3605.7,500,2468.3
