variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,1,4,40000,250,160000,137099,25.3,54.8,2660842,424821732,16.6303,2655.14,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.37,4.37
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,2,process,1,4,40000,250,160000,146046,24.2,54.0,2652785,422176936,16.5799,2638.61,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.37,4.34
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,3,process,1,4,40000,250,160000,131195,26.1,50.9,2655422,422956936,16.5964,2643.48,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.34,4.34
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,1,4,40000,250,160000,144942,24.2,49.0,2660730,424943144,16.6296,2655.89,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.34,4.34
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,1,process,1,4,40000,250,160000,140610,24.8,52.5,2653742,422440208,16.5859,2640.25,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.34,4.15
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,1,4,40000,250,160000,141909,24.5,48.7,2659953,424616388,16.6247,2653.85,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.15,4.15
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,1,4,40000,250,160000,138886,25.3,53.2,2661861,425141872,16.6366,2657.14,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.15,4.15
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,4,process,1,4,40000,250,160000,136905,25.6,55.2,2655009,422812688,16.5938,2642.58,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.15,5.18
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,1,4,40000,250,160000,144126,25.3,49.8,2659823,424493376,16.6239,2653.08,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.18,5.18
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,3,2,process,1,4,40000,250,160000,134082,26.4,52.3,2655213,422881052,16.5951,2643.01,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.18,5.09
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,3,3,process,1,4,40000,250,160000,144360,24.0,48.2,2651960,421897320,16.5748,2636.86,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.09,5.09
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,4,process,1,4,40000,250,160000,151436,23.8,45.1,2657800,423930324,16.6112,2649.56,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.09,5.09
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,4,1,process,1,4,40000,250,160000,134355,26.3,58.5,2653450,422369944,16.5841,2639.81,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.09,5.08
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,2,process,1,4,40000,250,160000,162918,23.6,43.0,2659183,424380300,16.6199,2652.38,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.08,5.08
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,3,process,1,4,40000,250,160000,151941,24.4,47.4,2659231,424480304,16.6202,2653.00,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.08,5.08
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,4,4,process,1,4,40000,250,160000,136501,26.8,53.5,2654606,422738152,16.5913,2642.11,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.08,6.92
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,1,process,1,4,40000,250,160000,139938,25.9,56.2,2660739,424823656,16.6296,2655.15,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.68,5.68
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,5,2,process,1,4,40000,250,160000,140353,26.4,56.1,2655071,422817676,16.5942,2642.61,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.68,5.68
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,5,3,process,1,4,40000,250,160000,140772,25.8,53.1,2656613,423268876,16.6038,2645.43,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.68,5.71
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,4,process,1,4,40000,250,160000,141766,25.6,56.9,2661699,425103104,16.6356,2656.89,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.71,5.71
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,10,4,12500,250,500000,736354,50.4,113.7,2716890,568383280,5.4338,1136.77,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,5.71,5.71
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,2,process,10,4,12500,250,500000,806626,45.4,101.4,2719058,569820660,5.4381,1139.64,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,5.71,5.57
