variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,1,1,process,1,4,40000,250,160000,153848,24.7,46.0,2658062,424052448,16.6129,2650.33,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.84,5.84
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,1,2,process,1,4,40000,250,160000,152785,24.1,52.0,2018211,344672292,12.6138,2154.20,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.37,5.37
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,1,3,process,1,4,40000,250,160000,151035,23.7,55.2,2019549,345151656,12.6222,2157.20,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.37,5.37
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,1,4,process,1,4,40000,250,160000,149627,24.4,53.3,2662369,425415376,16.6398,2658.85,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.37,5.37
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,2,1,process,1,4,40000,250,160000,154370,23.9,48.0,2018671,344889204,12.6167,2155.56,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.34,5.34
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,2,2,process,1,4,40000,250,160000,149127,24.8,51.4,2660910,424932788,16.6307,2655.83,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.34,5.34
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,2,3,process,1,4,40000,250,160000,150805,24.6,51.2,2660212,424810824,16.6263,2655.07,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.34,5.15
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,2,4,process,1,4,40000,250,160000,152525,24.3,50.8,2019953,345201672,12.6247,2157.51,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.15,5.15
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,3,1,process,1,4,40000,250,160000,153948,24.2,49.8,2659899,424652196,16.6244,2654.08,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.15,5.15
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,3,2,process,1,4,40000,250,160000,157559,24.0,47.3,2018514,344746312,12.6157,2154.66,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.15,4.9
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,3,3,process,1,4,40000,250,160000,161331,23.3,43.0,2019525,345143260,12.6220,2157.15,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.9,4.9
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,3,4,process,1,4,40000,250,160000,151710,24.3,50.8,2659564,424573628,16.6223,2653.59,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.9,4.9
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,4,1,process,1,4,40000,250,160000,153376,24.2,47.0,2018802,344943816,12.6175,2155.90,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.9,4.67
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,4,2,process,1,4,40000,250,160000,149939,24.6,49.8,2660399,424770616,16.6275,2654.82,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.67,4.67
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,4,3,process,1,4,40000,250,160000,148774,24.4,50.6,2660564,424796720,16.6285,2654.98,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.67,4.67
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,4,4,process,1,4,40000,250,160000,153394,24.0,49.9,2020491,345435620,12.6281,2158.97,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.67,4.61
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,5,1,process,1,4,40000,250,160000,143480,25.1,56.5,2663658,425870220,16.6479,2661.69,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.61,4.61
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,5,2,process,1,4,40000,250,160000,148881,24.4,54.0,2018001,344559896,12.6125,2153.50,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.61,4.61
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,5,3,process,1,4,40000,250,160000,153407,23.5,53.4,2020185,345505340,12.6262,2159.41,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.61,4.65
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,5,4,process,1,4,40000,250,160000,153965,23.9,50.2,2660429,424840104,16.6277,2655.25,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.65,4.65
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,1,1,process,10,4,12500,250,500000,777611,46.4,108.5,2713553,567274960,5.4271,1134.55,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.65,4.65
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,1,2,process,10,4,12500,250,500000,944967,36.5,106.8,1199289,376109496,2.3986,752.22,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.65,4.65
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,1,3,process,10,4,12500,250,500000,988576,36.8,77.9,1201484,377027400,2.4030,754.05,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.43,4.43
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,1,4,process,10,4,12500,250,500000,810331,46.1,91.8,2715043,567823248,5.4301,1135.65,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.43,4.43
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,2,1,process,10,4,12500,250,500000,938392,37.7,85.9,1203387,377624696,2.4068,755.25,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.43,4.43
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,2,2,process,10,4,12500,250,500000,798937,46.5,91.2,2713935,567234376,5.4279,1134.47,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.43,4.43
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,2,3,process,10,4,12500,250,500000,836937,43.3,94.6,2711973,566667332,5.4239,1133.33,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.24,4.24
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,2,4,process,10,4,12500,250,500000,1029240,34.9,77.6,1198154,375967444,2.3963,751.93,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.24,4.24
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,3,1,process,10,4,12500,250,500000,766946,48.2,98.1,2716688,568240684,5.4334,1136.48,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.24,4.24
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,3,2,process,10,4,12500,250,500000,968282,38.0,81.5,1201521,376838076,2.4030,753.68,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.24,4.38
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,3,3,process,10,4,12500,250,500000,1047652,33.8,78.6,1194795,374769536,2.3896,749.54,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.38,4.38
control,0890cec2d734b047a71c3236db16faaeb38654df,452efa136b20a13bd3db963e43024f539d7f28b0a59cf496a654e6f0193c1199,3,4,process,10,4,12500,250,500000,776000,48.0,99.0,2714678,567601384,5.4294,1135.20,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.38,4.38
candidate,e5c3da658abd619c240851d384642fe741d93047,25d57ddedd545bbcfdd98dd43dfe7b4bbee22400955c024fdba8a922cf50174b,4,1,process,10,4,12500,250,500000,944467,38.5,77.1,1203649,377537696,2.4073,755.08,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.38,4.27
