variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,1,process,1,4,40000,250,160000,150682,24.0,59.6,2657780,424013884,16.6111,2650.09,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.81,4.81
candidate,f79b4115acc8d874109dfcd394e25c6887f88657,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,2,process,1,4,40000,250,160000,146873,24.6,47.1,2017641,344371148,12.6103,2152.32,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.81,4.81
candidate,f79b4115acc8d874109dfcd394e25c6887f88657,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,3,process,1,4,40000,250,160000,143625,24.2,49.7,2016161,344067644,12.6010,2150.42,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.81,4.51
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,4,process,1,4,40000,250,160000,148184,25.0,51.3,2661234,424921116,16.6327,2655.76,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.51,4.51
candidate,f79b4115acc8d874109dfcd394e25c6887f88657,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,2,1,process,1,4,40000,250,160000,155050,24.1,45.8,2018443,344763900,12.6153,2154.77,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.51,4.51
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,2,2,process,1,4,40000,250,160000,148721,24.5,50.8,2660165,424723444,16.6260,2654.52,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.51,4.47
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,2,3,process,1,4,40000,250,160000,148167,24.7,51.9,2658065,424082332,16.6129,2650.51,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.47,4.47
candidate,f79b4115acc8d874109dfcd394e25c6887f88657,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,2,4,process,1,4,40000,250,160000,142016,24.5,48.9,2017813,344700224,12.6113,2154.38,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.47,4.47
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,3,1,process,1,4,40000,250,160000,146742,25.1,50.6,2659607,424377828,16.6225,2652.36,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.47,5.23
candidate,f79b4115acc8d874109dfcd394e25c6887f88657,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,3,2,process,1,4,40000,250,160000,147814,24.9,47.1,2016772,344190672,12.6048,2151.19,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.23,5.23
