variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,1,process,1,4,40000,250,160000,146527,25.2,50.3,2657554,423820988,16.6097,2648.88,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.58,3.58
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,2,process,1,4,40000,250,160000,153051,23.7,54.9,2019705,345218576,12.6232,2157.62,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.49,4.49
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,3,process,1,4,40000,250,160000,149889,24.2,48.5,2019073,345046144,12.6192,2156.54,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.49,4.49
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,4,process,1,4,40000,250,160000,143091,25.3,49.9,2658735,424211616,16.6171,2651.32,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.49,4.45
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,2,1,process,1,4,40000,250,160000,155557,23.9,51.0,2017603,344439792,12.6100,2152.75,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.45,4.45
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,2,2,process,1,4,40000,250,160000,144504,24.9,53.3,2660358,424733380,16.6272,2654.58,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.45,4.45
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,2,3,process,1,4,40000,250,160000,149845,24.5,48.5,2658316,424182568,16.6145,2651.14,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.45,4.41
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,2,4,process,1,4,40000,250,160000,145243,24.8,51.7,2018040,344650704,12.6128,2154.07,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.41,4.41
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,3,1,process,1,4,40000,250,160000,149205,25.0,56.4,2657422,423948168,16.6089,2649.68,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.41,4.41
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,3,2,process,1,4,40000,250,160000,155460,23.3,48.9,2016370,344158864,12.6023,2150.99,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.41,5.5
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,3,3,process,1,4,40000,250,160000,151172,24.4,58.0,2016860,344452212,12.6054,2152.83,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.5,5.5
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,3,4,process,1,4,40000,250,160000,146970,24.7,51.5,2658866,424256492,16.6179,2651.60,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.5,5.22
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,4,1,process,1,4,40000,250,160000,150316,24.0,50.4,2016472,344056388,12.6029,2150.35,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.22,5.22
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,4,2,process,1,4,40000,250,160000,145477,24.8,53.5,2659795,424559192,16.6237,2653.49,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.22,5.22
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,4,3,process,1,4,40000,250,160000,141303,25.6,52.8,2659384,424382872,16.6212,2652.39,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.22,5.2
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,4,4,process,1,4,40000,250,160000,148345,24.4,50.6,2019291,345042536,12.6206,2156.52,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.2,5.2
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,5,1,process,1,4,40000,250,160000,148158,24.6,55.1,2656821,423695680,16.6051,2648.10,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.2,5.2
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,5,2,process,1,4,40000,250,160000,147046,24.6,51.7,2019052,345025080,12.6191,2156.41,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,5.2,4.95
candidate,40b79c9c6deedbc0708565346755b6e9489350c3,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,5,3,process,1,4,40000,250,160000,145524,24.5,51.2,2018822,344916420,12.6176,2155.73,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.95,4.95
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,5,4,process,1,4,40000,250,160000,141584,25.4,56.3,2659292,424384616,16.6206,2652.40,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.95,4.95
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,1,process,10,4,12500,250,500000,806609,45.7,91.2,2713601,567360816,5.4272,1134.72,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.95,5.75
