phase,mode,batch,writers,bpw,payload,rep,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,defensive_copy_bytes,fsyncs,load1
before,process,1,4,40000,250,0,160000,149799,24.6,46.9,3528930,506758788,22.0558,3167.24,41760000,0,5.73
before,process,1,4,40000,250,1,160000,148595,25.1,45.2,3500456,503651312,21.8778,3147.82,41760000,0,5.73
before,process,1,4,40000,250,2,160000,162275,23.2,39.0,3503850,504103176,21.8991,3150.64,41760000,0,5.73
before,process,10,4,12500,250,0,500000,916854,38.7,76.5,3026259,629126136,6.0525,1258.25,130500000,0,5.43
before,process,10,4,12500,250,1,500000,798952,48.7,84.0,3040304,631274840,6.0806,1262.55,130500000,0,5.43
before,process,10,4,12500,250,2,500000,816034,46.3,86.2,3033223,629802888,6.0664,1259.61,130500000,0,5.43
before,process,100,4,2500,250,0,1000000,3473231,107.7,214.2,2273731,741609020,2.2737,741.61,0,0,5.43
before,process,100,4,2500,250,1,1000000,3546509,101.0,231.9,2270517,741589376,2.2705,741.59,0,0,5.24
before,process,100,4,2500,250,2,1000000,3533641,106.6,212.0,2273239,741621776,2.2732,741.62,0,0,5.24
before,process,1000,4,250,250,0,1000000,5316168,665.7,1620.6,2036155,696598908,2.0362,696.60,0,0,5.24
before,process,1000,4,250,250,1,1000000,5232419,665.9,1703.2,2036138,696598116,2.0361,696.60,0,0,5.24
before,process,1000,4,250,250,2,1000000,5511459,622.4,1767.9,2035816,696593828,2.0358,696.59,0,0,5.24
before,group,1,4,800,250,0,3200,1206,2699.5,24830.7,70717,10028552,22.0991,3133.92,835200,804,4.9
before,group,1,4,800,250,1,3200,1341,2733.6,5928.2,70714,10017272,22.0981,3130.40,835200,804,4.75
before,group,1,4,800,250,2,3200,1387,2706.0,5912.7,70711,10019496,22.0972,3131.09,835200,804,4.77
before,group,10,4,500,250,0,20000,12954,2827.3,5298.7,118484,24790304,5.9242,1239.52,5220000,505,4.77
before,group,10,4,500,250,1,20000,12644,2809.0,5881.8,118483,24789320,5.9242,1239.47,5220000,504,4.79
before,group,10,4,500,250,2,20000,13327,2774.6,5395.0,118485,24788408,5.9242,1239.42,5220000,505,4.8
before,group,100,4,300,250,0,120000,122842,2965.0,6032.5,269611,88714500,2.2468,739.29,0,305,4.8
before,group,100,4,300,250,1,120000,133862,2886.9,6079.9,269618,88723388,2.2468,739.36,0,305,4.58
before,group,100,4,300,250,2,120000,136105,2881.0,5915.7,269610,88721320,2.2468,739.34,0,304,4.45
before,group,1000,4,100,250,0,400000,907379,4119.9,7909.3,814778,279177512,2.0369,697.94,0,108,4.45
before,group,1000,4,100,250,1,400000,519463,7600.8,13023.5,814753,279172452,2.0369,697.93,0,105,4.42
before,group,1000,4,100,250,2,400000,473321,8226.1,14718.6,814796,279179104,2.0370,697.95,0,110,4.42
preliminary-rejected,process,1,4,40000,250,0,160000,152795,24.4,46.2,2883393,472692548,18.0212,2954.33,0,0,5.89
preliminary-rejected,process,1,4,40000,250,1,160000,152147,24.4,46.4,2862802,469464624,17.8925,2934.15,0,0,5.89
preliminary-rejected,process,1,4,40000,250,2,160000,156904,24.1,44.2,2855248,467540032,17.8453,2922.13,0,0,5.89
preliminary-rejected,process,10,4,12500,250,0,500000,1001436,37.7,65.6,1503263,457866756,3.0065,915.73,0,0,5.58
preliminary-rejected,process,10,4,12500,250,1,500000,1012105,36.4,69.5,1497897,456942160,2.9958,913.88,0,0,5.58
preliminary-rejected,process,10,4,12500,250,2,500000,1060434,34.7,78.9,1488639,455148184,2.9773,910.30,0,0,5.58
preliminary-rejected,process,100,4,2500,250,0,1000000,4181571,91.2,146.2,1242181,673168608,1.2422,673.17,0,0,5.58
preliminary-rejected,process,100,4,2500,250,1,1000000,2742490,99.2,832.0,1244875,672730364,1.2449,672.73,0,0,5.58
