variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,1,1,process,1,4,40000,250,160000,151213,24.6,51.6,2656988,423519436,16.6062,2647.00,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.65,1.76
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,2,1,process,1,4,40000,250,160000,146728,25.1,48.9,2656529,423411196,16.6033,2646.32,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.83,1.83
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,3,1,process,1,4,40000,250,160000,153866,24.7,43.9,2656067,423261572,16.6004,2645.38,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.83,1.83
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,4,1,process,1,4,40000,250,160000,150850,24.4,46.5,2657353,423553824,16.6085,2647.21,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.83,1.83
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,5,1,process,1,4,40000,250,160000,150543,25.1,48.2,2656626,423383696,16.6039,2646.15,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.85,1.85
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,6,1,process,1,4,40000,250,160000,152187,25.0,45.3,2656447,423364904,16.6028,2646.03,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.85,1.85
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,7,1,process,1,4,40000,250,160000,150634,25.2,47.1,2656818,423455220,16.6051,2646.60,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.85,1.85
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,8,1,process,1,4,40000,250,160000,150382,25.0,46.5,2657567,423750980,16.6098,2648.44,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.86,1.86
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,9,1,process,1,4,40000,250,160000,149829,25.0,48.8,2656741,423392336,16.6046,2646.20,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.86,1.86
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,10,1,process,1,4,40000,250,160000,148407,24.9,48.6,2657766,423813656,16.6110,2648.84,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.86,1.79
