variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,1,4,40000,250,160000,155318,24.3,45.9,2657500,423869312,16.6094,2649.18,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,2.92,3.17
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,1,2,process,1,4,40000,250,160000,148703,25.3,48.7,2655942,423207044,16.5996,2645.04,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.17,3.17
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,1,3,process,1,4,40000,250,160000,148500,25.3,46.8,2656846,423402164,16.6053,2646.26,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.17,3.17
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,1,4,40000,250,160000,157195,24.2,43.8,2658985,424322256,16.6187,2652.01,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.24,3.24
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,2,1,process,1,4,40000,250,160000,155019,24.4,44.5,2655744,423153188,16.5984,2644.71,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.24,3.24
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,1,4,40000,250,160000,156738,24.3,43.0,2659350,424341636,16.6209,2652.14,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.24,3.24
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,1,4,40000,250,160000,150978,24.8,48.6,2658582,424228044,16.6161,2651.43,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.24,3.14
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,2,4,process,1,4,40000,250,160000,148009,25.3,46.2,2657731,423707948,16.6108,2648.17,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.14,3.14
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,1,4,40000,250,160000,151483,24.4,45.9,2659711,424482488,16.6232,2653.02,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.14,3.14
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,3,2,process,1,4,40000,250,160000,150165,24.8,48.5,2655995,423172100,16.6000,2644.83,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.14,3.05
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,3,3,process,1,4,40000,250,160000,149771,25.0,46.8,2656951,423431048,16.6059,2646.44,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.05,3.05
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,4,process,1,4,40000,250,160000,150234,25.1,46.8,2659127,424367272,16.6195,2652.30,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.05,3.05
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,4,1,process,1,4,40000,250,160000,148824,24.9,48.5,2657604,423672236,16.6100,2647.95,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.05,3.04
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,2,process,1,4,40000,250,160000,163714,22.8,42.1,2657448,423821640,16.6090,2648.89,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.04,3.04
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,3,process,1,4,40000,250,160000,158100,23.6,45.6,2658539,424169328,16.6159,2651.06,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.04,3.04
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,4,4,process,1,4,40000,250,160000,152962,24.8,44.4,2657280,423621568,16.6080,2647.63,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.04,3.04
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,1,process,1,4,40000,250,160000,153380,24.4,46.4,2659380,424439676,16.6211,2652.75,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.04,3.04
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,5,2,process,1,4,40000,250,160000,148324,25.1,48.3,2657105,423498412,16.6069,2646.87,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.04,3.12
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,5,3,process,1,4,40000,250,160000,147666,25.1,47.5,2655636,423013632,16.5977,2643.84,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.12,3.12
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,4,process,1,4,40000,250,160000,154256,24.2,46.5,2659653,424537708,16.6228,2653.36,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.12,3.12
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,100,4,2500,250,1000000,3352967,109.9,236.9,2220578,737117652,2.2206,737.12,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.12,3.19
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,1,2,process,100,4,2500,250,1000000,3453540,104.9,229.0,2220167,737131204,2.2202,737.13,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.19,3.19
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,1,3,process,100,4,2500,250,1000000,3457476,104.6,223.1,2220064,737149812,2.2201,737.15,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.19,3.19
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,100,4,2500,250,1000000,3485496,106.1,238.5,2220470,737132124,2.2205,737.13,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.19,3.19
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,2,1,process,100,4,2500,250,1000000,3405678,107.2,245.2,2220748,737163536,2.2207,737.16,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.19,3.19
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,100,4,2500,250,1000000,3427635,107.7,222.5,2220804,737146720,2.2208,737.15,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.19,3.25
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,100,4,2500,250,1000000,3272538,112.7,234.2,2220957,737117260,2.2210,737.12,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.25,3.25
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,2,4,process,100,4,2500,250,1000000,3231237,113.1,232.2,2221230,737163148,2.2212,737.16,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.25,3.25
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,100,4,2500,250,1000000,3253882,112.6,232.7,2221083,737158636,2.2211,737.16,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.25,3.25
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,3,2,process,100,4,2500,250,1000000,3441023,108.5,228.3,2220615,737144060,2.2206,737.14,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.25,3.25
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,3,3,process,100,4,2500,250,1000000,3362043,110.1,225.5,2220897,737174896,2.2209,737.17,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.25,3.25
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,4,process,100,4,2500,250,1000000,3444888,106.2,228.3,2220480,737139128,2.2205,737.14,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.23,3.23
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,4,1,process,100,4,2500,250,1000000,3472090,108.2,217.1,2220633,737141804,2.2206,737.14,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.23,3.23
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,2,process,100,4,2500,250,1000000,3380591,110.3,227.8,2221095,737165596,2.2211,737.17,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.23,3.23
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,3,process,100,4,2500,250,1000000,3434561,109.3,221.5,2220998,737166056,2.2210,737.17,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.23,3.23
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,4,4,process,100,4,2500,250,1000000,3642220,102.1,207.9,2220066,737140660,2.2201,737.14,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.23,3.23
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,1,process,100,4,2500,250,1000000,3248109,112.3,259.5,2221425,737156324,2.2214,737.16,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.23,3.23
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,5,2,process,100,4,2500,250,1000000,3367183,107.7,228.6,2220564,737118548,2.2206,737.12,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.05,3.05
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,5,3,process,100,4,2500,250,1000000,3392832,110.0,225.8,2220604,737152820,2.2206,737.15,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.05,3.05
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,4,process,100,4,2500,250,1000000,3376625,111.4,223.6,2221145,737147288,2.2211,737.15,0,0,0,10000,1000000,0,0,10000,0,0,0,false,3.05,3.05
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,group,1000,4,100,250,400000,346692,11380.2,14891.7,809422,277894032,2.0236,694.74,0,0,0,400,400000,0,0,400,100,100,13893632,false,3.05,3.05
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,1,2,group,1000,4,100,250,400000,312713,12420.6,21427.1,809428,277896160,2.0236,694.74,0,0,0,400,400000,0,0,400,102,102,14942208,false,3.05,3.21
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,1,3,group,1000,4,100,250,400000,335619,12335.7,15038.0,809425,277894740,2.0236,694.74,0,0,0,400,400000,0,0,400,101,101,12845056,false,3.21,3.21
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,group,1000,4,100,250,400000,388712,10066.5,13228.3,809422,277894032,2.0236,694.74,0,0,0,400,400000,0,0,400,100,100,11796480,false,3.21,3.27
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,2,1,group,1000,4,100,250,400000,346531,11793.9,13959.8,809422,277894032,2.0236,694.74,0,0,0,400,400000,0,0,400,100,100,12320768,false,3.27,3.27
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,group,1000,4,100,250,400000,290936,13109.6,21933.0,809426,277901172,2.0236,694.75,0,0,0,400,400000,0,0,400,101,101,18350080,false,3.27,3.27
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,group,1000,4,100,250,400000,360566,10790.2,15655.2,809425,277895452,2.0236,694.74,0,0,0,400,400000,0,0,400,101,101,13893632,false,3.27,3.25
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,2,4,group,1000,4,100,250,400000,374073,10650.2,13904.6,809422,277894032,2.0236,694.74,0,0,0,400,400000,0,0,400,100,100,12845056,false,3.25,3.25
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,group,1000,4,100,250,400000,287074,13915.6,18943.0,809425,277894740,2.0236,694.74,0,0,0,400,400000,0,0,400,101,101,17301504,false,3.25,3.23
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,3,2,group,1000,4,100,250,400000,348223,10965.5,22245.8,809438,277900508,2.0236,694.75,0,0,0,400,400000,0,0,400,105,105,13369344,false,3.23,3.23
candidate,f5a30820c7f51a39a84dcd002cd4b089e01661d3,1855e100e5bebe7f4b9778ef2d529775368ec1dd8272371c28df52a66cf3c770,3,3,group,1000,4,100,250,400000,410697,9685.1,11201.4,809422,277894032,2.0236,694.74,0,0,0,400,400000,0,0,400,100,100,9699328,false,3.23,3.23
