variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,groups,sample_stride,sampled_gathers_delta,sampled_gather_intents_delta,sampled_max_group_width_before,sampled_max_group_width_after,sampled_close_os_delta,sampled_close_capacity_delta,sampled_close_bytes_delta,sampled_close_deadline_delta,sampled_close_inflight_drained_delta,sampled_close_disconnected_delta,sampled_commit_groups_delta,sampled_direct_commit_nanos_delta,sampled_post_io_to_frontier_nanos_delta,sampled_frontier_to_first_completion_nanos_delta,sampled_first_to_last_completion_nanos_delta
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,1,1,process,1,4,40000,250,160000,151213,24.6,51.6,0,64,695,2522,1,4,0,0,0,695,0,0,695,4008991,629208,413570,1888197
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,2,1,process,1,4,40000,250,160000,146728,25.1,48.9,0,64,692,2512,1,4,0,0,0,692,0,0,692,4042217,622810,380070,2005086
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,3,1,process,1,4,40000,250,160000,153866,24.7,43.9,0,64,690,2506,1,4,0,0,0,690,0,0,690,3895398,594119,326120,1879247
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,4,1,process,1,4,40000,250,160000,150850,24.4,46.5,0,64,697,2479,1,4,0,0,0,697,0,0,697,4074536,609309,384310,1835288
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,5,1,process,1,4,40000,250,160000,150543,25.1,48.2,0,64,693,2528,1,4,0,0,0,693,0,0,693,3969303,596950,341260,1995139
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,6,1,process,1,4,40000,250,160000,152187,25.0,45.3,0,64,692,2510,1,4,0,0,0,692,0,0,692,3962145,643669,409400,1871988
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,7,1,process,1,4,40000,250,160000,150634,25.2,47.1,0,64,694,2515,1,4,0,0,0,694,0,0,694,4078733,564740,376929,1886818
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,8,1,process,1,4,40000,250,160000,150382,25.0,46.5,0,64,697,2455,1,4,0,0,0,697,0,0,697,3862676,607760,376440,1908839
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,9,1,process,1,4,40000,250,160000,149829,25.0,48.8,0,64,694,2492,1,4,0,0,0,694,0,0,694,4020054,619259,371620,1956428
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,10,1,process,1,4,40000,250,160000,148407,24.9,48.6,0,64,697,2475,1,4,0,0,0,697,0,0,697,4088586,597180,350679,1805727
