point_id,phase,comparison,role,repetition,slot,order,variant,mode,payload,events_per_batch,owner_intents,writers,unit_shape,feed_source,feed_weight
e000001,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,2,2,domain,synthetic_sweep,1
e000002,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,2,2,domain,synthetic_sweep,1
e000003,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,2,2,domain,synthetic_sweep,1
e000004,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,2,2,domain,synthetic_sweep,1
e000005,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,2,2,domain,synthetic_sweep,1
e000006,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,2,2,domain,synthetic_sweep,1
e000007,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,2,2,domain,synthetic_sweep,1
e000008,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,2,2,domain,synthetic_sweep,1
e000009,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,2,2,new_name,synthetic_sweep,1
e000010,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,2,2,new_name,synthetic_sweep,1
e000011,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,2,2,new_name,synthetic_sweep,1
e000012,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,2,2,new_name,synthetic_sweep,1
e000013,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,2,2,new_name,synthetic_sweep,1
e000014,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,2,2,new_name,synthetic_sweep,1
e000015,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,2,2,new_name,synthetic_sweep,1
e000016,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,2,2,new_name,synthetic_sweep,1
e000017,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,4,4,domain,synthetic_sweep,1
e000018,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,4,4,domain,synthetic_sweep,1
e000019,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,4,4,domain,synthetic_sweep,1
e000020,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,4,4,domain,synthetic_sweep,1
e000021,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,4,4,domain,synthetic_sweep,1
e000022,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,4,4,domain,synthetic_sweep,1
e000023,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,4,4,domain,synthetic_sweep,1
e000024,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,4,4,domain,synthetic_sweep,1
e000025,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,4,4,new_name,synthetic_sweep,1
e000026,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,4,4,new_name,synthetic_sweep,1
e000027,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,4,4,new_name,synthetic_sweep,1
e000028,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,4,4,new_name,synthetic_sweep,1
e000029,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,4,4,new_name,synthetic_sweep,1
e000030,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,4,4,new_name,synthetic_sweep,1
e000031,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,4,4,new_name,synthetic_sweep,1
e000032,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,4,4,new_name,synthetic_sweep,1
e000033,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,16,4,domain,synthetic_sweep,1
e000034,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,16,4,domain,synthetic_sweep,1
e000035,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,16,4,domain,synthetic_sweep,1
e000036,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,16,4,domain,synthetic_sweep,1
e000037,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,16,4,domain,synthetic_sweep,1
e000038,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,16,4,domain,synthetic_sweep,1
e000039,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,16,4,domain,synthetic_sweep,1
e000040,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,16,4,domain,synthetic_sweep,1
e000041,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,16,4,new_name,synthetic_sweep,1
e000042,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,16,4,new_name,synthetic_sweep,1
e000043,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,16,4,new_name,synthetic_sweep,1
e000044,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,16,4,new_name,synthetic_sweep,1
