point_id,phase,boundary,comparison,role,slot,order,variant,mode,target_bytes,physical_batches,writers,source_commit,source_dirty,harness_sha256,binary_sha256,runner_sha256,evaluator_sha256,correctness_sha256,captured_at_utc,hostname,kernel,cpu_model,cpu_topology,governor,rustc,llvm,cargo,build_profile,scratch_root,mount_source,mount_fstype,mount_target,device_model,scheduler,free_bytes,page_size,iov_max,corpus_seed,guard_load1,status,error,iterations,stop_reason,events,bytes,write_syscalls,short_writes,interrupted,max_iovecs,copied_bytes,barriers,cpu_ns,wall_ns,p50_ns,p95_ns,p99_ns,min_payload,max_payload,load1_before,load1_after
b00001,boundary,width_2_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,140,1,1,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T18:59:55.944009+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459490816,4096,1024,payload[i]=(i*131+17)&0xff,4.30029296875,accepted,,479350,bytes,479350,67109000,479350,0,0,0,0,0,402999430,406472779,770,890,970,24,24,4.300,4.120
b00002,boundary,width_2_-1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,140,1,1,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T18:59:56.970949+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459486720,4096,1024,payload[i]=(i*131+17)&0xff,4.11572265625,accepted,,479350,bytes,479350,67109000,479350,0,0,1,0,0,447675062,451404837,860,1010,1100,24,24,4.120,4.120
b00003,boundary,width_2_-1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,140,1,1,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T18:59:57.998431+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459482624,4096,1024,payload[i]=(i*131+17)&0xff,4.11572265625,accepted,,479350,bytes,479350,67109000,479350,0,0,1,0,0,446328271,449887799,860,990,1090,24,24,4.120,4.120
b00004,boundary,width_2_-1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,140,1,1,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T18:59:59.027255+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459478528,4096,1024,payload[i]=(i*131+17)&0xff,4.11572265625,accepted,,479350,bytes,479350,67109000,479350,0,0,0,0,0,404625190,407982098,770,910,990,24,24,4.120,4.120
b00005,boundary,width_2_-1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,140,1,1,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T19:00:00.058050+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459474432,4096,1024,payload[i]=(i*131+17)&0xff,4.11572265625,accepted,,479350,bytes,479350,67109000,479350,0,0,0,67109000,0,412557364,416045033,790,860,1000,24,24,4.120,4.120
b00006,boundary,width_2_-1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,140,1,1,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T19:00:01.080444+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459470336,4096,1024,payload[i]=(i*131+17)&0xff,3.7861328125,accepted,,479350,bytes,479350,67109000,479350,0,0,0,0,0,400251310,403515952,760,780,970,24,24,3.790,3.790
b00007,boundary,width_2_-1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,140,1,1,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T19:00:02.106968+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459470336,4096,1024,payload[i]=(i*131+17)&0xff,3.7861328125,accepted,,479350,bytes,479350,67109000,479350,0,0,0,0,0,399276000,402289393,760,780,940,24,24,3.790,3.790
b00008,boundary,width_2_-1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,140,1,1,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T19:00:03.132978+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459470336,4096,1024,payload[i]=(i*131+17)&0xff,3.7861328125,accepted,,479350,bytes,479350,67109000,479350,0,0,0,67109000,0,412379433,415199583,790,870,1010,24,24,3.790,3.790
b00009,boundary,width_2_+0,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,280,2,2,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T19:00:04.161905+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459466240,4096,1024,payload[i]=(i*131+17)&0xff,3.7861328125,accepted,,239675,bytes,479350,67109000,479350,0,0,0,0,0,376303934,379137309,1490,1750,1880,24,24,3.790,3.790
b00010,boundary,width_2_+0,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,280,2,2,54215100a825da9eb7cfbd8f045e54ef05fb29bd,false,1b36f48efea63210dfeeee7270dea968ab5ba58da27f90aa42845eb8a64a6649,12b1dafe765a77d1a17115b0ae12cff973f20ed7d6d770fbd790695fe081288e,0e4833553be7825885da5ea99bceab292cc8abee6414d58b31864afe8ca9f944,c89b17de3d4d36a4e106517b0737619bd65f0e2877d95adbf2f297762f71fb7b,6e938dfcd266a2b0eac811d7ea7eabbd5b217965f88efa81371465134dbcab11,2026-07-15T19:00:05.185947+00:00,8o8-arch,7.0.12-arch1-1,AMD Ryzen 9 3900X 12-Core Processor,"logical=24,cores=12,sockets=1,nodes=1",performance,rustc 1.97.0 (2d8144b78 2026-07-07),22.1.6,cargo 1.97.0 (c980f4866 2026-06-30),"release,lto=thin,debug=true",/home/bob/.cache/mess-bench,/dev/nvme0n1p3,ext4,/home,Samsung SSD 970 EVO Plus 2TB,[none] mq-deadline kyber bfq,249459462144,4096,1024,payload[i]=(i*131+17)&0xff,3.7861328125,accepted,,239675,bytes,479350,67109000,239675,0,0,2,0,0,232740778,234602442,900,980,1130,24,24,3.790,3.790
