point_id,phase,boundary,comparison,role,slot,order,variant,mode,target_bytes,physical_batches,writers
b00001,boundary,width_2_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,140,1,1
b00002,boundary,width_2_-1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,140,1,1
b00003,boundary,width_2_-1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,140,1,1
b00004,boundary,width_2_-1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,140,1,1
b00005,boundary,width_2_-1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,140,1,1
b00006,boundary,width_2_-1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,140,1,1
b00007,boundary,width_2_-1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,140,1,1
b00008,boundary,width_2_-1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,140,1,1
b00009,boundary,width_2_+0,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,280,2,2
b00010,boundary,width_2_+0,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,280,2,2
b00011,boundary,width_2_+0,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,280,2,2
b00012,boundary,width_2_+0,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,280,2,2
b00013,boundary,width_2_+0,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,280,2,2
b00014,boundary,width_2_+0,copy_contiguous,baseline,2,BAAB,k_pwrite,process,280,2,2
b00015,boundary,width_2_+0,copy_contiguous,baseline,3,BAAB,k_pwrite,process,280,2,2
b00016,boundary,width_2_+0,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,280,2,2
b00017,boundary,width_2_+1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,420,3,3
b00018,boundary,width_2_+1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,420,3,3
b00019,boundary,width_2_+1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,420,3,3
b00020,boundary,width_2_+1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,420,3,3
b00021,boundary,width_2_+1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,420,3,3
b00022,boundary,width_2_+1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,420,3,3
b00023,boundary,width_2_+1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,420,3,3
b00024,boundary,width_2_+1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,420,3,3
b00025,boundary,width_4_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,420,3,3
