RATE gen capsules=10000000 pool=1000000
RATE segments=37925
[quiet-guard] contended (load1=48.93 procs=[1829751:cargo,1925385:cargo,2184556:cargo,2299201:cargo]); sleeping 5s
[quiet-guard] contended (load1=51.42 procs=[1829751:cargo,2184556:cargo,2299201:cargo,2326114:cargo,2327573:rustc]); sleeping 5s
[quiet-guard] contended (load1=48.75 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2329036:cargo,2330437:rustc,2330793:rustc,2330810:rustc,2330839:rustc,2330949:rustc,2331403:rustc,2331425:rustc,2331469:rustc,2331484:rustc,2331539:rustc,2331653:rustc,2331834:rustc,2331847:rustc,2331852:rustc,2331859:rustc,2331910:rustc,2331938:rustc,2331992:rustc,2332020:rustc,2332022:rustc,2332030:rustc,2332035:rustc,2332042:rustc,2332046:rustc]); sleeping 5s
[quiet-guard] contended (load1=54.29 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2329036:cargo,2331834:rustc,2332598:rustc,2334107:rustc,2334214:rustc,2334757:rustc,2334845:rustc,2334968:rustc,2335032:cc,2335034:cc1,2335188:rustc,2335211:rustc,2335251:rustc,2335299:rustc,2335302:cc,2335309:cc,2335312:cc1,2335331:rustc,2335373:cc,2335381:rustc,2335392:rustc,2335405:rustc,2335431:rustc,2335445:cc,2335448:rustc,2335467:rustc,2335478:cargo,2335486:cc,2335489:cc1,2335493:cargo]); sleeping 5s
[quiet-guard] contended (load1=52.67 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2335032:cc,2335034:cc1,2336442:cargo,2336708:rustc,2338067:cc,2338270:cc,2338272:cc1]); sleeping 5s
[quiet-guard] contended (load1=49.65 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2336442:cargo,2336708:rustc,2341199:cc]); sleeping 5s
[quiet-guard] contended (load1=46.63 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2336442:cargo,2336708:rustc]); sleeping 5s
[quiet-guard] contended (load1=44.18 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2336442:cargo,2336708:rustc]); sleeping 5s
[quiet-guard] contended (load1=41.60 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2336442:cargo,2336708:rustc]); sleeping 5s
[quiet-guard] contended (load1=39.23 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2336442:cargo,2336708:rustc]); sleeping 5s
[quiet-guard] contended (load1=36.89 procs=[1829751:cargo,2299201:cargo,2326114:cargo,2336442:cargo,2336708:rustc]); sleeping 5s
[quiet-guard] contended (load1=34.90 procs=[1829751:cargo,2326114:cargo,2336442:cargo,2336708:rustc]); sleeping 5s
[quiet-guard] contended (load1=32.74 procs=[1829751:cargo,2326114:cargo,2336442:cargo,2336708:rustc,2355717:cargo,2355763:rustc,2355764:rustc]); sleeping 5s
[quiet-guard] contended (load1=31.16 procs=[1829751:cargo,2326114:cargo,2336442:cargo,2336708:rustc,2355717:cargo,2355764:rustc]); sleeping 5s
[quiet-guard] contended (load1=29.39 procs=[1829751:cargo,2326114:cargo,2336442:cargo,2336708:rustc,2355717:cargo,2355764:rustc]); sleeping 5s
[quiet-guard] contended (load1=32.08 procs=[2326114:cargo,2336442:cargo,2336708:rustc,2355717:cargo,2355764:rustc,2364035:cargo]); sleeping 5s
[quiet-guard] contended (load1=30.95 procs=[2326114:cargo,2336442:cargo,2336708:rustc,2355717:cargo,2355764:rustc,2364035:cargo,2368210:rustc]); sleeping 5s
[quiet-guard] contended (load1=29.51 procs=[2326114:cargo,2336442:cargo,2336708:rustc,2355717:cargo,2355764:rustc,2368653:cargo,2369877:cc]); sleeping 5s
[quiet-guard] contended (load1=28.67 procs=[2326114:cargo,2336442:cargo,2355717:cargo,2355764:rustc,2368653:cargo,2369877:cc]); sleeping 5s
[quiet-guard] contended (load1=28.70 procs=[2326114:cargo,2355717:cargo,2368653:cargo,2394981:cargo]); sleeping 5s
[quiet-guard] contended (load1=27.28 procs=[2326114:cargo,2368653:cargo,2394981:cargo,2409015:cargo,2409789:rustc,2410647:rustc,2411079:rustc]); sleeping 5s
[quiet-guard] contended (load1=27.02 procs=[2326114:cargo,2368653:cargo,2419576:cargo,2420180:rustc]); sleeping 5s
[quiet-guard] contended (load1=25.81 procs=[2326114:cargo,2368653:cargo,2419576:cargo,2420180:rustc]); sleeping 5s
[quiet-guard] contended (load1=26.15 procs=[2326114:cargo,2368653:cargo,2419576:cargo,2420180:rustc]); sleeping 5s
[quiet-guard] contended (load1=25.26 procs=[2326114:cargo,2368653:cargo,2419576:cargo,2420180:rustc]); sleeping 5s
[quiet-guard] contended (load1=25.24 procs=[2326114:cargo,2368653:cargo,2419576:cargo,2420180:rustc]); sleeping 5s
[quiet-guard] contended (load1=24.34 procs=[2326114:cargo,2368653:cargo,2419576:cargo,2420180:rustc]); sleeping 5s
[quiet-guard] contended (load1=22.95 procs=[2326114:cargo]); sleeping 5s
[quiet-guard] contended (load1=21.51 procs=[2326114:cargo]); sleeping 5s
[quiet-guard] contended (load1=20.91 procs=[2326114:cargo]); sleeping 5s
[quiet-guard] contended (load1=21.88 procs=[2326114:cargo,2445445:cargo]); sleeping 5s
[quiet-guard] contended (load1=20.45 procs=[2326114:cargo,2445445:cargo,2446200:rustc]); sleeping 5s
[quiet-guard] contended (load1=19.61 procs=[2326114:cargo]); sleeping 5s
[quiet-guard] contended (load1=18.36 procs=[2326114:cargo]); sleeping 5s
[quiet-guard] contended (load1=17.45 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=16.53 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=15.93 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=15.21 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=14.72 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=13.94 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=13.38 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=12.63 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=12.74 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=11.96 procs=[2326114:cargo,2447023:cargo]); sleeping 5s
[quiet-guard] contended (load1=11.72 procs=[2326114:cargo,2448359:cargo,2448400:cargo,2448422:rustc,2448821:rustc,2448825:cc]); sleeping 5s
[quiet-guard] contended (load1=11.10 procs=[2326114:cargo,2448359:cargo,2448400:cargo,2448821:rustc]); sleeping 5s
[quiet-guard] contended (load1=11.02 procs=[2326114:cargo,2448359:cargo,2448400:cargo,2448821:rustc]); sleeping 5s
[quiet-guard] contended (load1=10.53 procs=[2326114:cargo,2448359:cargo,2448400:cargo,2448821:rustc]); sleeping 5s
[quiet-guard] contended (load1=10.01 procs=[2326114:cargo,2448359:cargo,2448400:cargo,2448821:rustc]); sleeping 5s
[quiet-guard] contended (load1=10.17 procs=[2326114:cargo,2448359:cargo,2448400:cargo,2448821:rustc]); sleeping 5s
[quiet-guard] contended (load1=9.76 procs=[2326114:cargo,2448359:cargo,2448400:cargo,2448821:rustc]); sleeping 5s
